,Rating,Title,Content,Author Name,Date,Year
20,8.0,The Summer Begins Now!,No content,cadillac20,2011-04-29,2011
21,7.0,Great fun!,"Fast Five - you'd think by the fifth instalment the Fast & Furious franchise would have run out of nos but this film really 'packs a punch'. Think of what you expect from this film, and then make it really amazing! Great chases - all kinds! -, great fist fights (Vin Diesel vs. The Rock..!!), great action sequences.... everything you would want from this film is IN IT and if you suspend all disbelief and go with it, its done brilliantly. Even the cheesy lines and plot twists become enjoyable.Not sure I'd pay a full adult weekend cinema price to see it, but if you can get 241 or a student discount, definitely see it on the big screen! Or wait for the blu-ray. Either way, you won't regret it when you see the beads of sweat running off The Rock's huge, bald head. Weird.",elby_monkey,2011-04-05,2011
22,8.0,Fifth is good,No content,neil-476,2011-04-21,2011
23,7.0,Fanaticalaboutfilms Review: Fast Five,"The latest in the Fast and Furious franchise has recently hit the screens and what with the others being a good way to spend a few hours I was hoping for a similar type of movie from this one with plenty of great cars and car chases to boot.Set after Fast & Furious (No. 4) but before The Fast and the Furious: Tokyo Drift (No. 3), this time the action is played out in Rio, Brazil after Dominic Toretto (Vin Diesel) has escaped from police custody in the US with help from his old pal Brian (Paul Walker) and sister Mia (Jordana Brewster) and gone into hiding. With them needing money to disappear forever, Dom hatches a plan to steal all the money from Rio's most reputable underworld kingpin Reyes (Joaquim de Almeida).At the same time they are being hunted down by the elite federal agent Hobbs (Dwayne Johnson) and his team who are trying to capture and take him back to prison. Although it is quite possible to watch this movie without seeing the previous 4 there will be some parts that may slip you by as the writers have assumed that, if your coming to see this movie then there is a very strong possibility you have seen at least a couple of the prequels/sequel.One thing that I was quite surprised about was the lack of actual cars in the storyline. Sure they were involved slightly more than a normal action movie but I was expecting a lot more. There were probably only 2/3 scenes involving racing or car stunts and when the whole movie is supposed to be based around cars I was expecting just that little bit more. If fact in one scene just when you are expecting a good old fashioned drag race, they cut away to reveal the car back in the garage and already won! The action does make up for this though and is fast flowing throughout as they jump from one explosion/fight scene to the next. The casting of Johnson as the bad-ass agent was a stroke of genius with him bringing his former WWE smack talk to the character. He really makes you want to hate him and I especially enjoyed the Johnson Vs. Diesel fight scene as the 2 heavyweights traded blows.At over 2 hours this is by far the longest in the franchise and although in general the time will pass quickly, they could have easily chopped off a few minutes here and there to stop the risk of it dragging for some people. The acting and script is nothing special and you will have to sit through a fair bit of 'we're doing this for family' talk but that is not what people will come to watch this movie for.With Neal H. Moritz announcing in March the development of a sixth and seventh movie for the series it is doubtful that this surprisingly long lasting franchise will go away quietly. Despite having lots of good action and successfully filling a void in my day, lets just hope that they return to the core basics for the next one rather than forgetting the main reason for these movies was supposed to be the cars.For further reviews feel free to check out: http://www.fanaticalaboutfilms.com",iReviewFilms,2011-04-29,2011
24,3.0,"Poorly made-up fiction, mocky action.","This one was too much even for the F&F franchise; I would call McGuiver and Jammy Bond, maybe even Braddock. And many places didn't look like Brazil, which has almost no passenger railways at all (maybe there're three or four, no more than 200 miles I guess), what to say TGV (or something looking like it, I really can't figure what was that). Second, it was more like Mexico, if I know something about that. Finally, I don't know where they found so many import cars for those do exist in very, very limited quantity. And just a dozen (in the entire country) are designated as patrol units, for use of senior officers who aren't seen around driving them. Well, there's no fun in driving a VW Fox or a Fiat with 79HPs, uh?",dueda,2011-05-10,2011
25,8.0,"Cliché, stupid stunt, cliché, bad joke, cliché, bad acting...","Why does this movie have a 7.4 rating??? Have people lost their taste in movies? I don't understand it. I don't even know where to start. This movie had every single cliché possible plus the jokes were insulting to one's intelligence. The acting was just bad. The stunts were ridiculous. Nothing made sense (this should be a science fiction movie, since none of those stunts could ever happen given simple laws of physics). Yeah, the stunts also insulted my intelligence. I was left speechless...and for 2 hours. The car chases were plain boring. The shooting and fighting scenes where the good guys kill 100 bad guys, and the good guys don't even get a scratch from being shot at with automatic machine guns, were a big yawn. And there was a looong fight scene where people get thrown through glass and walls and they break each other's faces and then when they are shown 1 second later they don't have one scratch!!! That's representative of how much effort was put into this movie!",rammvier,2011-10-07,2011
26,7.0,Fast Five gives a movie-going experience that alternates between adrenaline-pumping high and dull lows.,No content,Eternality,2011-05-03,2011
27,10.0,Best F'n'F yet,"After varying degrees of success with the franchise, My faith that ""Fast 5"" could deliver on the hype was waning somewhat. However I am pleased to say the series has redeemed itself. Fast 5 pulls out all the stops this time around. It delivers on action, cars, quality acting and a decent storyline. It explores the character personalities showing more humor, fear, vulnerability and determination this time around which gives the movie strength and depth that was missing from previous Fast n Furious movies. I found myself laughing out loud a few times at the subtle humor, and leaning forward for the action scenes which are truly amazing.The Story is not predictable and will keep the surprises coming to the end. The Cast has matured and it shows in the quality of acting over previous F'n'F movies.Pros:Good pace throughout the movieDecent storyline and plotGood Cast of actors/ actressesImaginative and inventive elements throughoutPlenty of ""Wow"" momentsCons: Would be nice to have more screen time for the carsa couple of cheesy moments ( but this adds to the humor of the film)Overall: Highly recommended film, Just be sure to stay until the end of the credits!9.5/10",corey_dw,2011-04-19,2011
28,7.0,"Not a Five Star title, but definitely Fast","The producers / distributors / makers (call them what you may) behind this movie have decided to transition The Fast And The Furious Series of movies from a street racing franchise into an action / heist one with car chases at its helm instead of the notorious street races that governed most of the previous movies. Had I not watched any of the past movies, I would have certainly welcomed this move. But after seeing all four of them (in anticipation of this one), I believe that leaving out street racing from this movie was not a pretty good idea - there's just one race in this movie and that too, is a friendly sort of no stakes race. Although I can understand the studio's motives behind doing so, The Fast And The Furious series of films deserve at the least one race per film.Anyways, enough of the complaining already. Coming to the point, which is Fast Five, the movie is surely fast and equally furious. The fourth movie ended with Paul and Mia attempting to bust out Dom from prison with an animated escape shown in the end. The fifth movie begins just at that point with a live action escape sequence replacing the animated one at the end of the previous installment. After a job that goes awry, the trio are then on the run since they're wanted by two factions of people - the crew of a businessman Reyes and the team of a DSS agent Luke Hobbs. After running around for some time, they decide to pull one last job to buy out their freedom with fake passports and start life afresh. But with these two powerful men on their tails, it ain't gonna be that easy.Fast Five is more of an action movie and so, for it to work, there has to be action. And there is - plenty of it. Without spoiling most of it by describing it in detail, I'd say the high points of the movie are the train job at the start that goes awry and sets up the events of the movie, the trio's escape from both teams who get to them simultaneously over rooftops, a fight between Dominic Toretto (Vin Diesel) and Luke Hobbs (Dwayne Johnson) and of course, the finale which is absolute madness. And perhaps all of the sequences have been shot without any use of CGI which is what makes the action even all the more exciting and brings back memories of the past era of action movies where all sequences were filmed rather than digitally created.The cinematography is top notch as well. Although there are a lot of cuts in action sequences, we still get some long continuous areal views of the action (long meaning lasting around 5 seconds or so) which helps understanding what's going on and where it all fits into the surroundings. This ensures you're with the action. Performances are decent and for a mostly wooden Paul Walker reprising his role as Brian O'Connor, you have a surprisingly flexible Dwayne Johnson playing Luke Hobbs - the new entry in the franchise. His character is exactly what he told it would be in the behind the scenes featurettes - strong, efficient at nabbing criminals and a worthy antagonist to Dominic Toretto and his team mates. I'd definitely want him to return in the next installment. And although this ain't a movie about characters, we get some dialogs which actually help us understand the characters a little better giving us some insight into their lives. Nothing deeply psychological - just a tinge of what's hidden beneath the surface. Nice.On the whole, Fast Five is solid entertainment provided you're willing to suspend your disbelief and forget the laws of physics. But then, we always do suspend our disbelief to some extent in movies - that's what they're for. And none of us really does remember the laws of physics so they're irrelevant for the most part. In which case, the movie comes highly recommended and even more so for an action movie buff. This is the definitive action movie of the year. And do stay for some time for a nice post credits surprise which unlike many meaningless sequences, is a critical post-credits scene that might set up the next installment in the series.Score: 7.0 / 10",KrazzyDJ,2011-05-08,2011
29,8.0,Adrenaline pumping hardcore popcorn action done right,"The weather is finally better, people are taking their clothes off all over the place and even though it is still spring time, summer movies are now officially kicking off and ladies and gentleman, we start this summer right with Fast Five. The Fast and Furious franchise is something of an acquired taste, a sort of guilty pleasure that hasn't really been shown the respect it has earned. It isn't known for any of the terms critics love to use when they complain about a movie, like intellectual dialogue, solid characterization or even anything remotely close to a thought provoking plot. No, what it excels in is another term that critics seem to have forgotten about. Popcorn, no that overpriced buttery stuff you get from a concession stand, I'm talking popcorn films! Energetic movies meant to entertain, a good solid waste of time! So what makes a good popcorn film? Well if this question is asked to the future filmmakers of tomorrow one need only to watch Fast Five to see a fine example of how to get it right. Director Justin Lin (who also directed the fast and the furious) makes a huge leap in directorial prowess by showing an incredible eye for action that every other director today should take note at. The man can film ACTION, and you know..In an action moviethat's kind of what you want and with that eye brings together an expendables version of the fast and furious franchise starring everyone's favorite fast and furious stars. Dominic Toretto (played by Vin Diesel) and his crew find themselves on the wrong side of the law once again as they try to deal with a drug lord and a federal agent that's hot on their trail. So , umback to talking about the action. It is INNNNcredible. Oh man this is my kind of action, I seriously have not seen this kind of solid , non computer generated action in a very very long time and Justin Lins camera work is top notch. Every shot is deliberate and clean. Ohso good. Aside from the action the other thing that makes this film work is the stars. Everyone from The Rock to Ludicrous play their characters great and have their own moments to shine. While the movie does slow down in the middle to what looks like Ocean's Eleven meets Fast and Furious, the stars are what keep this movie was falling apart. The movie at times felt like a parody of action films, filled with cheesy cliché's that are sometimes so subtle you'll miss it but Linn will toss another scene in there in case you did and often in hilarious ways . The rock is just so great, it's these roles he should be taking, not the flying fairy kind, he's so great in this film I would love to see a spin off with this very character of his, this cocky nonsense guy who just knows everything, and he really does know everything. Frankly, that's the only two things that this movie has going for it. Action and pretty people and in a popcorn film, that's all you need. So this one is easy folks, for those with their noses in the air looking for only citizen Kane caliber films to entertain them, you should know better, you know a fast and furious movie isn't for you. It's a vapid film that would have been unwatchable had it not been for its action and star power. But it pulls off being entertaining. So if you're looking for adrenaline pumping action , seat rumbling roars of the hottest cars , beautiful people looking beautiful even when being shot at then you got yourself the definition of a popcorn film, meant to entertain you in every single way and this is popcorn done right.",FuryoftheFilmFan,2011-04-30,2011
31,9.0,The fastest and most furious ride yet.,No content,musanna-ahmed,2011-04-21,2011
