Rating,Title,Content,Author Name,Date
7,Entertainment: Ego Driven Car Races,"Ten years after the inception of the fast car action film phenomenon, Fast Five takes the U.S. box office by storm beginning summer early this year. Director Justin Lin (""Anapolis"") achieves an opening box office numbers north of 80 mil by amassing all of the franchise's most badass stars including Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson, Ludicrous, Sung Kang, Matt Schulze along with adding the brute power of Dwayne ""The Rock"" Johnson. As expected, there is no plot or character development what so ever, immediately throwing the audience into the escape of Dominic ""Dom"" Toretto (Diesel) sentenced to twenty-five years in prison, facilitated by ex-cop Brian O'Connor (Walker) and Mia Toretto (Brewster). Following Dom's escape, Brian and Mia seek the help of an old friend, Vincent (Schulze), in Rio de Janeiro undertaking a job to steal three cars from a moving train as they wait for Dom's arrival. The heist goes amiss, however, they learn two things, first, they cannot trust anyone and second this is just the tip of the iceberg of the ticket to their freedom. Dom, Brian and Mia commence the biggest robbery the series has ever seen with a 100 million dollar target from the most corrupt and powerful man in Rio, Hernan Reyes (Joaquim de Almeida). Needless to say, they call Roman Pearce (Gibson), Tej (Ludacris), Han (Sung Kang) among other franchise favorites to evade the clutches of Reyes and U.S. federal agent Luke Hobbs (Johnson).Not many sequels stand up to their first installments, however, after four semi-entertaining sexy action thrillers struggling to create a worthwhile plot, ""Fast Five"" does more than equivocating its predecessors. The film's over the top ridiculous scope leaves very little room for slow boring moments. Instead it is full of pointless action scenes including a five-minute foreseeable faceoff between Diesel and Johnson. The battle of the brawny is accompanied by the battle of the sexy between Jordana Brewster and newcomer Elsa Patakay (local Rio cop Elema Neves). And yes there are ego driven car races.The same reasons that make ""Fast Five"" better than its predecessors make the film the true mess that it is. A completely flawed grandiose plot combined with ridiculously bad acting and Tyrese Gibson's cliché one-liners and Johnson's childish clever phrases such as ""Now give me the veggies"" make the script seem like something a 13 year old thought up while playing Need For Speed with his friends. However, by disregarding plot development and clever writing, ""Fast Five"" has broken through the bonds that have always been holding the series back.In the end, nothing stands in the films way as the writers completely shirk their job letting the cast loose through a labyrinth of explosive fun. All that matters is that ""Fast Five"" is the epitome of a Hollywood moneymaker. It is entertainment.",jonnyhavey,"May 3, 2011"
8,Definitely one of the best ones!,"Amazing action, cars, solid story, comedic, and very entertaining! What more could you ask for except for epicness! I love all the badness in it and Tyrees Gibson is always a delight so is everyone else. Great Fast and furious for any fan of the series or not. Exhilarating as well too!",UniqueParticle,"Jan 26, 2020"
7,"Fast, fun and mindless fury ... once again","I went into this movie expecting the usual; fast cars and hot babes held together with a more than flimsy action-packed story line and Justin Lin seemed to schizophrenically deliver (or did he?). The movie starts with a famously stolen and instantly aggravating ""one last job"" scene, obviously not something any movie goer can believe in this instance because let's face it who finishes a movie series on its fifth? This movie sees the return of all the usual (and previous) F&F characters and same tricks of the trade we have seen Brian and Dom perfect with all the usual so-called tense last minute escapes Hollywood has rinsed dry, yet still this movie does deserve its 7/10 rating.How? Rio and the favelas are beautifully shot, the new characters are refreshing and VERY well casted, the vehicles are awesome, although lacking in their usual ""bling"" quality and the witty humour running through from previous F&F's is a little bonus for fans of the previous movies. Coupled with a sprinkling of nail biting moments and generous helpings of laugh-out-loud moments this testosterone injected movie is no doubt a fun, easy on the mind movie to go and watch.Unfortunately, like all ""fun and easy on the mind"" movies, the simplicity of it all becomes very predictable and the same is true for this movie. The story line, although containing a couple of very interesting screws, is essentially like any other heist movie we've all seen before (you already know the conclusion and you always wonder where they magically get all that military level kit from). The fight scenes have obvious outcomes, the alliances of certain characters are openly questionable and the character of Matt Schulze (Vince) is more pointless than jet skiing in your 15 meter, back garden swimming pool.The UNENDING swarms of mind-blowingly beautiful women and roaring hot cars are haplessly missing in the trial to create a more interesting storyline, which has only lead to needless additions into the story which add nothing to the overall plot. This movie is like a man in his late 20's desperate to become something more yet hold onto his youth and ending up messing up on both fronts. There's a token nitrous moment amidst the scores of needless carnage and overflowing testosterone levels from the tanking cast and developments in Brian and Mia's relationship add nothing to the story.Overall, the movie is enjoyable but lacks the zing of maybe the first two. It falls short of a modern day epic man-movie like the ""expendables"" and clearly lacks the strong storyline and acting prowess of a brilliant modern day heist movie like ""the bank job"". Saying that, it would still be a shame to miss this movie.",deathiscoming-1,"Apr 30, 2011"
8,The Summer Begins Now!,No content,cadillac20,"Apr 29, 2011"
7,Great fun!,"Fast Five - you'd think by the fifth instalment the Fast & Furious franchise would have run out of nos but this film really 'packs a punch'. Think of what you expect from this film, and then make it really amazing! Great chases - all kinds! -, great fist fights (Vin Diesel vs. The Rock..!!), great action sequences.... everything you would want from this film is IN IT and if you suspend all disbelief and go with it, its done brilliantly. Even the cheesy lines and plot twists become enjoyable.Not sure I'd pay a full adult weekend cinema price to see it, but if you can get 241 or a student discount, definitely see it on the big screen! Or wait for the blu-ray. Either way, you won't regret it when you see the beads of sweat running off The Rock's huge, bald head. Weird.",elby_monkey,"Apr 5, 2011"
8,Fifth is good,No content,neil-476,"Apr 21, 2011"
7,Fanaticalaboutfilms Review: Fast Five,"The latest in the Fast and Furious franchise has recently hit the screens and what with the others being a good way to spend a few hours I was hoping for a similar type of movie from this one with plenty of great cars and car chases to boot.Set after Fast & Furious (No. 4) but before The Fast and the Furious: Tokyo Drift (No. 3), this time the action is played out in Rio, Brazil after Dominic Toretto (Vin Diesel) has escaped from police custody in the US with help from his old pal Brian (Paul Walker) and sister Mia (Jordana Brewster) and gone into hiding. With them needing money to disappear forever, Dom hatches a plan to steal all the money from Rio's most reputable underworld kingpin Reyes (Joaquim de Almeida).At the same time they are being hunted down by the elite federal agent Hobbs (Dwayne Johnson) and his team who are trying to capture and take him back to prison. Although it is quite possible to watch this movie without seeing the previous 4 there will be some parts that may slip you by as the writers have assumed that, if your coming to see this movie then there is a very strong possibility you have seen at least a couple of the prequels/sequel.One thing that I was quite surprised about was the lack of actual cars in the storyline. Sure they were involved slightly more than a normal action movie but I was expecting a lot more. There were probably only 2/3 scenes involving racing or car stunts and when the whole movie is supposed to be based around cars I was expecting just that little bit more. If fact in one scene just when you are expecting a good old fashioned drag race, they cut away to reveal the car back in the garage and already won! The action does make up for this though and is fast flowing throughout as they jump from one explosion/fight scene to the next. The casting of Johnson as the bad-ass agent was a stroke of genius with him bringing his former WWE smack talk to the character. He really makes you want to hate him and I especially enjoyed the Johnson Vs. Diesel fight scene as the 2 heavyweights traded blows.At over 2 hours this is by far the longest in the franchise and although in general the time will pass quickly, they could have easily chopped off a few minutes here and there to stop the risk of it dragging for some people. The acting and script is nothing special and you will have to sit through a fair bit of 'we're doing this for family' talk but that is not what people will come to watch this movie for.With Neal H. Moritz announcing in March the development of a sixth and seventh movie for the series it is doubtful that this surprisingly long lasting franchise will go away quietly. Despite having lots of good action and successfully filling a void in my day, lets just hope that they return to the core basics for the next one rather than forgetting the main reason for these movies was supposed to be the cars.For further reviews feel free to check out: http://www.fanaticalaboutfilms.com",iReviewFilms,"Apr 29, 2011"
3,"Poorly made-up fiction, mocky action.","This one was too much even for the F&F franchise; I would call McGuiver and Jammy Bond, maybe even Braddock. And many places didn't look like Brazil, which has almost no passenger railways at all (maybe there're three or four, no more than 200 miles I guess), what to say TGV (or something looking like it, I really can't figure what was that). Second, it was more like Mexico, if I know something about that. Finally, I don't know where they found so many import cars for those do exist in very, very limited quantity. And just a dozen (in the entire country) are designated as patrol units, for use of senior officers who aren't seen around driving them. Well, there's no fun in driving a VW Fox or a Fiat with 79HPs, uh?",dueda,"May 10, 2011"
No rating,"Cliché, stupid stunt, cliché, bad joke, cliché, bad acting...","Why does this movie have a 7.4 rating??? Have people lost their taste in movies? I don't understand it. I don't even know where to start. This movie had every single cliché possible plus the jokes were insulting to one's intelligence. The acting was just bad. The stunts were ridiculous. Nothing made sense (this should be a science fiction movie, since none of those stunts could ever happen given simple laws of physics). Yeah, the stunts also insulted my intelligence. I was left speechless...and for 2 hours. The car chases were plain boring. The shooting and fighting scenes where the good guys kill 100 bad guys, and the good guys don't even get a scratch from being shot at with automatic machine guns, were a big yawn. And there was a looong fight scene where people get thrown through glass and walls and they break each other's faces and then when they are shown 1 second later they don't have one scratch!!! That's representative of how much effort was put into this movie!",rammvier,"Oct 7, 2011"
7,Fast Five gives a movie-going experience that alternates between adrenaline-pumping high and dull lows.,No content,Eternality,"May 3, 2011"
10,Best F'n'F yet,"After varying degrees of success with the franchise, My faith that ""Fast 5"" could deliver on the hype was waning somewhat. However I am pleased to say the series has redeemed itself. Fast 5 pulls out all the stops this time around. It delivers on action, cars, quality acting and a decent storyline. It explores the character personalities showing more humor, fear, vulnerability and determination this time around which gives the movie strength and depth that was missing from previous Fast n Furious movies. I found myself laughing out loud a few times at the subtle humor, and leaning forward for the action scenes which are truly amazing.The Story is not predictable and will keep the surprises coming to the end. The Cast has matured and it shows in the quality of acting over previous F'n'F movies.Pros:Good pace throughout the movieDecent storyline and plotGood Cast of actors/ actressesImaginative and inventive elements throughoutPlenty of ""Wow"" momentsCons: Would be nice to have more screen time for the carsa couple of cheesy moments ( but this adds to the humor of the film)Overall: Highly recommended film, Just be sure to stay until the end of the credits!9.5/10",corey_dw,"Apr 19, 2011"
