Rating,Title,Content,Author Name,Date,Year,Negative Score,Neutral Score,Positive Score,Overall Percentage Score,Overall Sentiment
5.0,Eye Candy just like the other 2,"Fun, Fast and Flashy. Like the other 2 it mostly ignores physics and completely ignores common sense. The drifting is cool but better in person with real professionals. I think a good half of the drifting in this was CG. Hell there was more ""real"" drifting in the Dukes of Hazard remake.Finally I think the most annoying part was during the major chase through Tokyo none of these drivers ""drove"" to get away. Drifting is NOT the fastest way through a corner, so if your running from someone why would you drift.Any way, I enjoyed it but if you like cars or racing, and have a average understanding of both, your gonna be shaking your head a lot.",Physicker,2006-06-16,2006,0.11,0.743,0.147,0.6444,Positive
10.0,The fats and the furious Tokyo drift,"I saw fast and the furious Tokyo drift today it was an excellent movie and i'd love to see it again. It did include Vin Diesel although he wasn't a main character it least the director tried to include him. The cars were gorgeous and i thought while i was watching it i want to be like them i want to be a car racer. Which i've always wanted to do but now i want to be a racer even more. Of course these films must influence people like me to want to be like them and race cars and drift. But also it makes you change your mind as Han, Shawns friend dies in it which made me want to cry. He died when they were racing and D.K was racing after them. Then the car was burning and Shawn was walking up to it and it exploded. This was the saddest part of the movie. The movie was fantastic and when i buy it on DVD i'm probably going to be up watching it every night! They had fantastic cars in the movie my favourite was the Nissan 350Z which D.K at the beginning of the movie drove. The cars were gorgeous and when i'm 17 i'm going to have my driving test in a Nissan 350Z on my birthday. To sum the movie up it was a brilliant movie and there was some gorgeous guys and cars. Also the music was great and i hope they bring out a soundtrack for the film. Lucas Black was always fantastic in this movie as well as Nathalie Kelley i hope the next one comes out soon and the DVD comes out soon because i want to watch it every day. I also hope Lucas Black and Nathalie Kelley are in the next ones. Also Lucas Black seemed more tough then Paul Walker. Thankyou for your co-operation. If you have not yet seen the movie. SEE IT!!! Its the best one so far! Its also my favourite movie ever now!!!!!!",igraynelewis,2006-06-16,2006,0.046,0.75,0.204,0.9964,Positive
5.0,eh...,"if you like minimum plot concern, tricked-out cars, Japan, Japanese mafia, Japanese girls(Harijuku girls especially) and drift racing... go for it. the oldest kid from the Home Imporvement sitcom makes his first appearance since First Kid as a cocky jock, i thought that was worth a good chuckle in the theater. too many special effects, half of them were in there for suspense... but they weren't so believable if you've watched drift racing. there was one chase scene where they skidded through traffic and inbetween cars... to me it felt that they tried to push a whole lot of drift racing into some of the action scenes.",sketchbook_romance,2006-06-16,2006,0.011,0.909,0.08,0.6808,Positive
8.0,Better than 1 and 2,"It's easy to beat 2, so that isn't saying much. However, in my mind it is even better than the first. Neither necessarily has a great storyline, though number 1 had the most likely one. However, where the first one failed, Tokyo Drift delivers.People don't go see movies like this for substance and content. They go to see cars race. Autophiles and racers go to see the tricked out cars and hear the names of their suppliers being used on the big screen. The first installment in this series used a lot a jargon unknown to non to non-racers, and to those who were in the know, the movie was a joke. Tokyo Drift gets away from all the pretenses and delivers what the truth is: few people use Nitrous Oxide, and racers drive because they love it, money or none, just to see who is the best.The cars are great. It was wonderful too see the makes and models you are used to seeing out there, instead of all these tricked out high priced rice racers. The best cars to race aren't necessarily the most expensive. The racing was more about skill than power, and that's the truth. First off the line means jack if you don't know your wheels. The racing scenes are top notch. Gone are the shaky camera angles and digitally enhanced shots of cars flying by at 140mph with nitrous in full bore. Instead, we get cool shots using cell phones, and up close angles of vehicles gliding across pavement and narrowly missing the camera. The action shots are wonderful, and many are real shots, not computer digitized as referenced by the end credits begging us not to go out and attempt these stunts that were performed on closed roads by professional drivers. We're not talking your standard danger tag, we're talking full size text on it's own screen. These drifters are for real, and that just enhances the feel for the film.Finally, and parents will love this, it is relatively clean. I don't think i heard a single f-bomb in the whole movie. I'm not saying that there is no cussing, but that it is so moderate and background oriented, that you can watch the movie and not even remember hearing it. There are about 5 or 6 kissing scenes, and only one contains a semi-main character. The worst content you will see here is skimpy outfits.This is just a fun, fun movie. It's not going to win any awards, but it has definitely set itself up to top the original in box office gross and will no doubt surpass 2 fast 2 furious. Don't be afraid to take the 13+ kidding to see this, though under 8-10 may be pushing it, unless they really understand cars and racing.",deac0n_fr0st,2006-06-16,2006,0.061,0.812,0.127,0.9807,Positive
9.0,Good movie elevated by awesome action.,"This movie has to be the most entertaining thing i have seen all year even though i still think the first one was better. But moving it to Tokyo was a smart move as this brings a fresh atmosphere. Some of the acting was terrible but what do you expect. Lucas Black is a likable replacement for Paul Walker and Bow Wow does okay. Some of the Japanese actors are really good, but the real stars are the cars and boy do they look good, they go from show ponies - twink's car to awesome drift cars- Han's car. The action sidepieces are totally amazing the action goes from good to great through the movie. Over all this is an awesome popcorn movie and i recommend it to everyone just for the action and the big surprise at the end!! 10 out of 10",the_con_man298,2006-06-16,2006,0.022,0.669,0.309,0.9956,Positive
7.0,Solid,"I have seen the other reviews of this film that are negative and I just don't understand. This is no high concept, high-brow. This is girls, cars and loud soundtrack. What did you think it was going to be? Some great racing scenes. This could have easily just been another racing for cash film, but it actually was smart in pulling in the drift scene. Same cars, but different style of racing.Overall I thought the characters were fun. Again, nothing high concept here. Just enough info for you to separate the good guys and bad guys. Throw in a little romance and there you have the formula that made the other two films in this franchise hits.",RCWjr,2006-06-17,2006,0.063,0.787,0.15,0.9163,Positive
3.0,"Lackluster plot, brainless bimbos, & Some Rotten Acting","Well I never had the intention to see this movie, but my friend who has no taste in movies implored me to accompany him to this movie that promises to bring in a marginally slim profit. So a disrespectful adolescent is sentenced to go to his father who lives in Tokyo when he is apprehended by the local police when he decimates a construction site. For reasons I do not know, he was not incarcerated, apparently he can just be relocated. In Japan he in pulled into the ‘underground’ of competitive racing that incorporates a technique called drifting, I suppose no one on the continent of North America had ever had the notion of drifting before. So then while he is in this strange land he falls for the girl who's boyfriend is the nephew of the don of the Yakuza. Uh-OH, bit trouble! There's animosity, so how does it get resolved? By the means of a race! The race sequences are intriguing at first, but later they just become repetitive and use an endless string of shots that just disorientate the audience to create the cheap illusion of insane speed. The dialog isn't too much too look at, I almost died when the cliché of ‘let's end this once and for all’ was used to prompt the ‘final showdown’. Something else that I could not wrap my mind around is that the girls are not only flat out promiscuous in this renegade's dreamland, but also that they can be one over something as trivial as a car race. The director did a decent job, but a lot of his techniques were pretty minimalistic. But perhaps the most annoying aspect of this movie was the southern hick accent that was laid on pretty thick by Lucas Black. All in all, this is just going to be one of those movies that will fade into the obscurity of Action section in the back of Blockbuster video. If you want to walk away from a movie and feel fulfilled, just wait for Superman Returns and save yourself $7.50",boxybrown13,2006-06-17,2006,0.085,0.806,0.109,0.913,Positive
8.0,It is a very entertaining movie.,"OK, I walked in expecting another fake street racing movie. The first Fast and the Furious was quite entertaining. The second just felt like a 90 minute commercial sponsored by Mitsubishi and Yearone. Honestly, this movie was really great, it felt really good to watch. You can really connect with the main character(Lucas Black). I dunno, you can sense a lot of sincerity in his character. He loves what he does and thats it. The jump from drag to drifting doesn't seem to really get to him. The fact that this movie doesn't rely on the cars as the main characters is really great. The acting itself in this movie was wonderful. I love watching a good classic movie just like the rest, but sometimes you just need to see some mindless car scenes and unwind a bit. Oh, the other thing I loved was the cameos! We have the original drift king with his one liners. Funny. We also have the so ever popular Sonny Chiba(aka the swordsman from Kill Bill). Last and not least, Vin Diesel is back",jin_ecko72,2006-06-17,2006,0.075,0.737,0.188,0.9668,Positive
9.0,Absolutely Awesome,"If you liked either of the previous Fast and Furious movies, see this movie. If you like cars, see this movie. If you like hot girls, see this movie. I'll grant that the plot isn't super intensive, but the mix of plot intertwined with action was great. I think that the 2 Fast 2 Furious plot of 'cops and drugs' has been used a little too much, and yet that movie still had redeeming features. I don't know why there is so many people who think it wasn't worth the money. Lets face it. There are VERY few movies that have: great plots, Awesome action, and very hot chicks. I watch movies a lot and i have only seen - at most - 5 movies that have the above content. It also depends on the viewer and their preferences. If your confused about whether you want to see Tokyo Drift or not, my advice is to ignore what anybody says about it and to just go and watch it for yourself and decide whether it was or wasn't worth it.",mutated_carcass,2006-06-17,2006,0.094,0.785,0.122,0.7832,Positive
8.0,The Series gets better and better,"When I first heard about The Fast and The Furious 3 from this site I was thrilled. I checked every week for new info. When i went to see it I thought it was the best of the lot. I thought the first race was equally as good as the last. I found with the other 2 the attention moved off the races and onto other things e.g. Carlos Verone, Monica Vuentas and Mia Toretto. I personally thought the twist at the end with Dom was a perfect ending despite not actually seeing the race. I have also found out the connection between Han and Torretto. After Dom's brief with Letty in Mexico they returned to California where Johnny Trent's car gang was falling apart and then Han transfered from johnny to Dominic where they raced for about a year. Thats about when Han returned to japan and Dom went around the time Shaun beat D.K. (The Japanese version of Justin Timberlake).",gedders2006,2006-06-17,2006,0.043,0.88,0.078,0.802,Positive
1.0,Worst movie ever,"For a time I didn't know which movie I had as number 1 worst movie, but now I do :) The scene where they ride downhill and try to make it ""lovestory"" kinda like, I was so embarrassed that I had to close my eyes and ears. Worst dialog ever :P Worst casting to by the way, Lucas Black gotta be one of the worst actors I've seen in a long time, what was with the accent, bad smile and stupid grin ? Every time he said something deep was just hilarious, that guy cant act for sure. Even the scenes with drifting got boring, cause its the same and same all over again, from start to end. BoooooringMy few words :)Over and out",maeha,2006-06-17,2006,0.228,0.639,0.133,-0.9643,Negative
9.0,Was much better than 2Fast 2Furious but with small flaws...,"I thought that the movie was awesome. However, there were some minor set backs which made me think ""now that is stupid"". To start off, I thought that Bow Wow should not have been in the movie, but he did do a good job. I just think it is stupid that they had to get someone famous like that for that part... Another thing...Shawn Boswell was a great actor but his country southern accent seemed too fake. It seemed like he was 'trying to hard' if you know what I mean. Last thing for now...Vin Diesel's appearance was not needed. It was just really stupid how he just showed up for 10 seconds! Anyways, to make a review short, it is a great movie and you should see it if you liked (or didn't!) the first or second Fast and Furious.",FlyersPh9,2006-06-17,2006,0.131,0.698,0.171,0.846,Positive
9.0,Drop your preconceptions and judge this movie on its own merits,"I thoroughly enjoyed this movie. I have seen the other two in the franchise, and I thought the second one sucked. I had better hopes for this one simply based on the location in Tokyo, which I think is the most fascinating city in the world. I wanted to watch the movie just to see images of the city. If the movie happened to be decent, well then that would just be a bonus. Boy was I pleasantly surprised at how good this film was! This movie is pure entertainment. The cinematography is gorgeous, and really reveals Tokyo as a futuristic city. The racing scenes are amazing. The character development is there, and you actually are intrigued by the main characters. There is plenty of eye candy to go around. I was gripped the whole time by this movie. Even if you didn't like the other F&F movies, I think you should give this one a chance. It definitely has more depth to it than the others.",bthuynh,2006-06-18,2006,0.026,0.762,0.213,0.9883,Positive
6.0,Ummm....OK I guess,"Going into this movie I had the lowest expectations ever. I mean Bow wow is in it. Couldn't they have gotten some better actors like Vin Diesel or Paul Walker, like in the first two? No, they got Bow Wow. Well I went in with very very low expectations and walked thinking it wasn't too bad. It was an o.k. overdone action movie I'll give it that. The acting was quite cheesy and the movie itself was predictable. But at the same time it did have some very nice(nice, not possible) racing scenes that I did enjoy. Another thing was that I totally didn't feel the fast and the furious ""feeling"" throughout this one, as I did during the first two. It just doesn't quite follow the same theme and guidelines. But its a guaranteed favorite for all those die hard action movie lovin people, jus wasn't all that great with me.",maxgunko,2006-06-18,2006,0.112,0.756,0.132,-0.0777,Negative
10.0,what this film should be judged on,This is first and foremost an action film you do not watch it for the characters and story you watch it for the action and for the thrills and in this aspect the fast and furious tokyo drift definitely delivers. The action scenes have a real sense of speed. They also give you a real sense of danger and you never know what is coming next.It also contains some very nice cars i am not really into the Japanese tuning seen but this film contains every kind of car from nissans to mustangs to volkswagens there really is something for everyone!In conclusion if you want a film with in depth story and characters look elsewhere but if you want a good thrilling action movie then the fast and the furious tokyo drift is certainly worth watching.,gavin_2003,2006-06-18,2006,0.062,0.795,0.143,0.8654,Positive
10.0,Correcting the above person and some things i thought about the movie,"There weren't any HUGE glaring inaccuracies (other than daddy throwing sonny the keys to a car with NO ENGINE in it...) < WHAT YOU SAID IS INCORRECT. The Car he received from his dad had no engine, But he had put another car's engine into the car. It was shown in the movie. The movie was pretty good. I do like cars and if you like cars also you should see the movie. The action was good all around which made it a good movie. Drifing is pretty cool and if you would like to see how drifting is you should also see the movie. I give this movie a 10 because it shows how drifting is.",BksNinja,2006-06-18,2006,0.037,0.733,0.229,0.9842,Positive
1.0,"Horrible movie,","Possible spoiler warningThis movie was horrible as I kind of predicted it would be. The lack of reasonable plot and plot holes spoiled it.As a Navy brat that lived in Japan when I was a kid, I for a fact know that Navy kids do not attend Japanese schools, they attend American schools. Navy officers do not live in shacks in Tokyo, they live on the base, because they get big houses for 25% of the price. In Tokyo drift they do neither of these things. I'm almost 100% sure that the Yakuza have no interest whatsoever in drifting. They'd prefer to be making money. I'm also sure that not every drift car in Japan is sponsored and covered with stickers. As a person who is/was pasionate about the sport of drifting, the way this movie portrayed it was a joke. Basically this was another attempt by Hollywood to grab onto pop culture and warp it to their ends to make money. I fear all it will lead to is idiot kids killing themselves and others.",onig-1,2006-06-18,2006,0.1,0.867,0.034,-0.9282,Negative
7.0,yes the acting is bad ... it's a car movie,"I don't know why this movie got a 4.7. I saw Nacho Libre last night, and aside from a few hederian gimmicks that (embarrasingly) made me laugh, I found myself asleep by the time he ""ran to the wilderness"". Nacho wasn't just dumb ... It was 100% worse than utterly boring.""Tokyo Drift"", on the other hand, had a lot to offer. Sure it was like candy ... fast cars, danger, fire, guns, women, nice street shots of Tokyo, and Sonny Chiba as a Yakuza boss... but at least it knew what it was ... a corny car movie only out entertain. Hey, I'm a guy ... what can I say. Besides that, it's Fast and Furios for goodness sake .. what were you expecting, Bullit? Nacho just tried to hard to be some clever indie movie, and frankly all those dirty-nerdy temptations from childhood were already explored in Dynamite and are now best left hidden away in the past. Nacho tried to be something. But something it was not. And with it's cast and ""pret-indie"" (my term so y'all better give me credit) look, it wasn't even an indie flick.If I had to put the two side by side in a race, my 10 bucks would be on Tokyo Drift. It's a good movie for the big screen. Wait for Nacho to come out on video, so you ""walk out of the movie"" without feeling bad about having gone to the theater.Despite the previews, there's nothing redeeming about Jack Black flexing his buttocks in those white pants. The rest of that scene is so dumb I wanted to stick a corn cob in my eye.",kimchimofo,2006-06-18,2006,0.048,0.811,0.142,0.9824,Positive
8.0,Does what you expect,"Alright, let's get this out of the way: if you have no interest in cars, don't bother. If you want moving, powerful acting performances, look elsewhere. If blow-off valves and spinning tires make your heart shift into high gear, this is your kind of movie. The story is wafer-thin, it serves only as a hasty explanation to bring the audience to the Tokyo location and set up some action addicted races. The acting is just decent enough to keep you from groaning constantly, though Sung Kang's role as Han stands out as memorable and pleasant. Lucas Black has an understated quality about him that I think allows the movie's merit of its stunt sequences to shine, rather than the lead trying to steal all the attention. Which leaves me with the car play--the writers thankfully stopped trying to be technical and accurate in terms or facts (for the most part), so there's no ""...Blow the welds on your intake..."" crap, which is just plain wrong. The stunt drivers delivered lots of jaw-dropping drifts and high octane chases, and Justin Lin and his second-unit director took great care in highlighting the automotive lunacy. The cars and the setting are all glossy and colorful, and there is a wide range of makes and models to drool over, all just a bit over the top in their appearance. The music matches the speed of the movie as well, getting the target audience fired up with rock, hip-hop, and electronic tracks in all the right spots. Simply put, this movie offers what it promises, and gets by on the rest. I'm one of those types who can look past the shortcomings for the vehicular excitement, so I loved it, despite the flaws.",carlsob,2006-06-18,2006,0.059,0.812,0.129,0.9685,Positive
6.0,Give it a chance...,I'm giving this a 10 because it was SO MUCH BETTER than I thought it would be. I didn't think I could get past Lucas Black's heavy accent. He toned it down to a believable one that didn't get in the way of the story.This film moves quickly and doesn't stray too long on dialog and kissy-face. (Was there any?) The folks that gave this movie a 1 out of 10 obviously didn't see and don't like the franchise and feel that they can bash a movie in 10 lines or more and feel better about it. Those people should just go watch South Park and stop whining. This movie is entertainment in the purest form. I will see it again in the theaters soon.,wilkinsd-1,2006-06-18,2006,0.045,0.86,0.095,0.8299,Positive
6.0,"Not award winning material, but decent.","Lets get one thing clear, you are not going to a Fast and Furious movie for the groundbreaking plot and acting, you go for the cars, the racing, and the babes. Tokyo Drift is basically the same if not a little better than the previous two as far as the racing is concerned. There is the street racing that the series is famous for but also the addition of drift racing, which adds a new bit of spice to the flavor. As I mentioned the acting and the plot are so so at best, not something you will be groaning over but not enough to really drag you in and connect you with the characters. However it is my opinion that the plot here is better than in the second movie. Lucas Black from Friday night Lights replaces Paul Walker as the main character here, and Bow Wow is along for the ride as the trusty friend/sidekick. A few cameos from other actors and movies are thrown in as well. From beginning to end this movie does hold your interest with the racing, and for that the weak plot and questionable acting can be forgiven. Cars get wrecked, punches get thrown, loud music is played, and the hero has to do what he thinks is right. Bottom line, if you enjoyed the previous two, or even enjoy car racing movies at all you should get some entertainment value out of this one. Not the best movie to ever grace the silver screen, but I had a good time.",madmax_thegamer,2006-06-18,2006,0.057,0.745,0.199,0.9939,Positive
5.0,the fast and the furious Tokyo drift,"i saw the fast and the furious. the movie is not really as great as it is supposed to be. The main character, sounds like Cletus, the slack jawed yokel. There are moments in the movie where the director intends some scenes to be very powerful and emotional but the performances, given by the actors are mediocre and average at best. Unless you are total rev - head fan and would like to sit through all the unconvincing performances for nearly two hours just to see the cars, then this is the movie for you. if you are someone who likes to actively engage with the story, forget this movie and save your money. The other thing that is wrong with this movie is that they cast bow wow as the sidekick. he is just as bad as the will smith and the martin Lawrence partnership in bad boys 2. the one notable exception are the two characters, drift king and Han - who serves as a mentor for our friend. who incidentally looks like he has been hit with a shovel",pinapati2,2006-06-18,2006,0.09,0.716,0.193,0.9733,Positive
4.0,"Not Much Of A Movie, Although Lucas Black Is Good.","Let me be honest and say I saw this film solely because Lucas Black was in it. I like his tough look and sweet Alabama drawl, but despite his presence and a couple of good driving stunts, this is a nothing movie. It's reminiscent of the ‘Stock Car Race’ movies from film companies like American International Pictures that were commonplace when I was a kid. While I am usually willing to do it, too much suspension of disbelief was expected of me for my own enjoyment. Lucas Black is about 24; he cannot play a seventeen year old. The story of the film would still have worked if Sean, (Black's character) was his real chronological age. They could even have used the same plot device of him wrecking a housing development in an illegal race and that is why he's sent to stay with his dad in Japan instead of going to jail. But to pretend that Sean is 17 is just dumb. Nobody would give that much credence to a 17 year old no matter how tough. The ‘Tokyo Drift’ part is also kind of dumb. It seems to be a driving stunt wherein you propel the car forward in a sideways position. This is used to a fun effect with the drivers getting to the top of a parking garage and all, but this ‘drifting’ as it's called I have seen before in stock car races. I've seen it in James Bond movies and in last years The Dukes Of Hazard movie. In fact, ‘drifting’ is the whole major plot point in the Pixar film Cars and in Owen Wilson's inability to do it well. In fact, watching the drifting in The Dukes Of Hazard was better because it was filmed with longer shots. Director Justin Lin does too much MTV style quick cutting and it gets annoying. That kind of rapid cutting really only works in limited doses, it is tiring over the length of a feature film. Besides, in The Dukes Of Hazard, I had the feeling that the stunt people were actually driving the cars, in this its one cut after another and you don't get any sense of the cars being driven. The scene where about ten cars come ‘drifting’ down a mountain road is cool, but the story is still dumb. Too bad, I really want to see Lucas Black in something better. There is something very attractive and real about him that has yet to be tapped. He has a no nonsense demeanor that could work very well on screen, like a cross between Charles Bronson and Jimmy Stewart. I know that sounds like an odd mix, but I think it can work. I think he can be a star, even though that might not be what he wants.",Michael-70,2006-06-18,2006,0.093,0.799,0.108,0.8402,Positive
9.0,From someone who has reviewed more than ONE movie ever,"I'm not sure why this movie didn't spark the interest that the other FATF movies did but I think this is the best one of the three. The cinematography was awesome, the women are gorgeous. The villain was believable, it has almost non-stop action, and some genuinely funny lines. I never believe any reviews from anyone that has only reviewed one movie because they obviously have an agenda in either over hyping or needlessly trashing a movie. What I don't understand is why isn't anyone putting legitimate critiques up of this movie. The weakest point in this movie is trying to swallow that a guy w/ a southern accent could so instantly be accepted and trusted in a prominent drift club in Tokyo. OK suspend that disbelief and this move MOVES! I never once felt bored or lost or clicked my tongue and rolled my eyes like I did in the last FATF movie. Maybe people were hoping for more of the same trash, I'm not sure but this is an above average, I'd even say exciting, summer race film not like many others. I hope this sparks some other real reviews.",yoncenator,2006-06-18,2006,0.101,0.687,0.212,0.9867,Positive
