Rating,Title,Content,Author Name,Date,Year,Sentiment Overall,Negative Score,Neutral Score,Positive Score,Overall Percentage Score
8.0,Definitaly better than Tokyo Drift,"I saw this movie about an hour ago.. overall i was pretty pleased with it the action is great. but the writing was a bit off some of the dialogue seemed corny and unnecessary.. i found my self almost laughing at lines that were supposed to be dramatic.. kinda like in twilight. id say it wasn't as good as the first but definitely the second best of the series.. the reason the first was better is because JA RULE was in it ha.. its not how you stand by your car, its how you race your car haha..only other complaint i guess is that its not really about racing anymore.. for example the first one was more about the culture of underground street racing.oh and Mia in this movie is a bit scary i guess she forgot how she did the original role because she almost looks like she has a joker smile ha",coreycat09,2009-04-02,2009,Positive,0.068,0.72,0.212,0.9784
8.0,A complete reboot of the franchise,"How do I sum up Fast and Furious. Well before I go any further let me just say that it was everything I expected and more. This movie was a reboot for the franchise, just as much as Batman Begins was for batman, Casino Royal was for Bond, The Incredible HULK was for the hulk series etc. It features a lot more of a dramatic storyline then the other movies and isn't just a complete popcorn flick displaying a lot of emotion and relasionships between the characters. The movie almost seems to play out now as more of a crime drama then a racing movie, but also features a lot of the racing high paced action we know and love.Well on with the characters/story for the movie. This movie features a returning cast from the past The Fast and the Furious movies. We have Vin Deisel back as Dom, Paul Walker back as Brian, Michell Rodriguez as Letty, Jordan Brewster as Mia, and other characters that return in the form of camio appearances(just to let you know, no Tyrese or Lucas Black). I thought all of the characters did a really good job, and their relasionships and emotions were explored a lot more. So the acting is a big upgrade from the past movies, but don't be stupid enough to compare it to Oscar winning performances or expect them to be at that level. The characters do their jobs and are all very likable.Now with the story, basically without many spoilers, the gang is brought together by the murder of a mutual friend. So Brian and Dom work together to find the killer, and to bring down a huge criminal organization. At the same time Brian struggles with his loyalties to his job and to his friends who are on completely different sides of the law, and is forced to make a choice on whether hes a ""good guy playing a bad guy or a bad guy playing a good guy"" (as Mia puts it). So ya its straight forword but a solid plot that really sets up the whole movie, and is not just a completely brainless popcorn flick.All in all Fast and Furious was a very worthwhile movie. In terms of where it stands in the franchise it greatly supasses 2f2f and Tokeyo Drift, and even manages to be as good as or better then the first one in some aspects. If I had to choose Id say the first was better, but this one definitely stands up and is a worthwhile addition to the series. Anyways I give Fast and Furious an 8/10 and totally recommend seeing it in theaters, as it is totally worth $10, and you will only get one chance to see all the action on the big screen where it is at its best.",merce_hoola,2009-04-02,2009,Positive,0.108,0.747,0.146,0.9521
7.0,The best of the series by a mile,"I just got back from the midnight screening of 'Fast & Furious' and I have to admit the movie very much exceeded my fairly low expectations for the film. While the original film was entertaining, it was never a good movie by any means. Let's not even get started on the two that followed. The fourth installment however, is another story. Most of the original cast has come back and seeing them back in action together really makes you realize the F&F franchise isn't the same without them. The chemistry between the three leads (Diesel, Walker and Brewster) is the strongest it's been yet, and I would dare to call several of the scenes 'moving' as a result. Who would have ever expected that from Fast & Furious. The movie does an excellent job of keeping you on the edge of your seat, there's no shortage of action and a story that keeps your attention. The movie starts out in the DR with Vin Diesel pulling off a fairly implausible heist of hijacking a fuel tanker with his new crew. Minutes later, we learn of Letty's murder which in turn basically sets the tone for the rest of the movie as Diesel sets off on an all out rampage to even the score. Like the previous three, you certainly need to suspend your disbelief for the duration of the movie, however I was glad to see they didn't go overboard and kept the special effects and CIG to what seemed like a happy minimum. Anyone who's ever been a fan of the Fast and the Furious series will absolutely need to go see this on the big screen. Even if you weren't so hot for the originals, the movie is still worth a look. In my opinion it's acting, story, plot, special effects are the best of the series so far and almost makes it stand out as a respectable movie. Better yet, they've left the door wide open for 'Fast & Furious 5'. To be continued...",phatrick88,2009-04-02,2009,Positive,0.068,0.799,0.133,0.9652
10.0,Go See It!!!!!!,"#### the critics.. They don't know what they are talking about.. This movie is simply awesome and worth seeing..Ladies, Gentlemens, Boys & Girls.. Go to the nearest theater and see it..There are a few minor (plot)holes in the movie but they are easy to ignore because it's simply the best movie of the year in my opinion...This movie is for everyone..Just head out, sit down and enjoy a movie that will blow your mind.. I just think that this movie should have been made before Tokyo Drift but that's my opinion...That's all from me!!!.. Now, go out and see!!!",Michaelj-29,2009-04-02,2009,Positive,0.042,0.793,0.165,0.9457
7.0,Mediorce At Times But Always Entertaining,"When a crime brings them back to L.A., fugitive ex-con Dom Toretto (Vin Diesel) reignites his feud with agent Brian O'Conner (Paul Walker). But as they are forced to confront a shared enemy, Dom and Brian must give in to an uncertain new trust if they hope to outmanuever him. And from convoy heists to precision tunnel crawls across international lines, two men will find the best way to get revenge: push the limits of what's possible behind the wheel. Like i said before it is very mediorce with various racing scenes but Vin and Paul once again deliver a fun, fast and very furious masterpiece that can replace the embarrassment of Tokyo Drift. Fast And Furious 7/10",MCMAYNERBERRY,2009-04-03,2009,Negative,0.214,0.602,0.185,-0.4352
10.0,Fast & Furious 2.5,"I have read all previous comments and only see a couple of people that actually make a comment that it is supposed to happen between 2 Fast 2 Furious and Tokyo Drift... I'm sure this had something to do with Justin Lin directing Tokyo Drift as well as Fast & Furious. I'm glad that he made it happen that way because I am sure there were many people that saw Tokyo Drift and thought, ""Where did this movie come from?"" It was so random to have it be a Fast and Furious movie when it had nothing to do with either of the original 2 with the exception of the again, random, cameo of Dom at the end of it. In the first couple of scenes of Fast & Furious you see that Han is part of Dom's crew that hi-jacks gas tankers in the Dominican Republic. When the heat is on Dom once again, he tells Han it's time to go do his own thing. Han tells him that he hears of some things going on in Tokyo. If you recall in Tokyo drift, Han tells Sean that Tokyo is his ""Mexico"" he was running to stay out of jail.I really enjoyed this movie. The plot wasn't as detailed as the previous but it followed along well with what you think might happen in a Fast & Furious movie... Paul Walker plays Brian O'Conner again, he is still working law enforcement, although this time he is big boy FBI. Vin Deisel is back as Dominic Toretto. He and Brian are trying to get in with a drug ring for different reasons, but team up to help each other get what they are after.The movie is full of everything you expect from the franchise: Nice cars, great racing, hot women and hot guys (to suit everyone's taste) This movie has great action sequences as well. I recommend this movie to anyone that has followed the other 3... or at least the first 2. If they make a 5th one I'll be first in line to see it too.",amboo61,2009-04-03,2009,Positive,0.038,0.859,0.103,0.9718
6.0,More fun with horsepower,"This fourth entry in the tough-guy, street-racer, busty-babe franchise is, and is not, worthy of the first. It's brought back the original actors, and they still look good. It's got at least one of the original street races. But now, as the opening sequence shows, it's joined the blockbuster rush and shifted over into a CGI-world of preposterously extravagant video-game car events. This intro is like the overkill prelude of 'Quantum of Solace.' Both movies show a trend toward numbing their audiences out with speed and violence in the opening shots, instead of quietly warming them up. It's not a good strategy. 'Fast & Furious' is replete with action that's neither credible nor as integral to the plot as it ought to be, or as the action was in the first in the series, Rob Cohen's 'The Fast and the Furious' (2001), which itself was a glossier reimagining of the kind of cheapie Fifties and Sixties fast-car movies Tarantino plays with in 'Death Proof.' But this one's still got tough guys and busty babes. It's got colorful muscle cars for hot-rodders to drool over. And it's got bright, clear images that are often beautiful. Though they don't quite offset the choppy editing, they punctuate it in an esthetically pleasing way.In the first film Dom (Vin Diesel) disappeared into Mexico. Diesel missed the second episode, seemingly holding out for better career opportunities that didn't quite materialize. His big star vehicle, the 2002 'xXx,' was a bust, despite the presence of B-picture diva Asia Argento. He did star in Sidney Lumet's quirky trial drama, 'Find Me Guilty', if anybody remembers. Having reappeared in episode three, Tokyo Drift (like this directed by Justin Lin), Dom's now living in the Dominican Republic with his girlfriend Letty (Michelle Rodriguez). (Note for devotees: in time this new movie fits between episodes three and four.) It's Dom and Letty in the opening frames, stealing a multiple-unit truckload of oil. But their trickery defies the laws of physics and human dexterity too much to matter, even if it weren't too soon to get our adrenalin to pump that hard. Vin's still as muscled and macho; he was lumpen before; now he's just a little thicker. So is his delivery of dialogue, which now has an extra half-second delay. But there's something that makes it hard not to like Vin.Paul Walker (as Brian O'Connor) is similarly likable, with a prettier face. He doesn't have the bottle-blond golden boy look of the original 'The Fast and the Furious,' but he still has a square-jawed, sterling quality mingled with toughness that suits his role here as, now, a cop who turns rogue (or a rogue turned cop; he's not sure) aiming to serve higher ends--but unwilling to betray his old street-racing, law-breaking buddies. He aims to catch a drug kingpin his police boss seems content to let by, but he's forever loyal to Dom.Walker, like Diesel, has star quality, though he too has not exactly had a blockbuster career. He did, however, star in the mind-bendingly over-the-top action flick 'Running Scared,' and got to play the martyred Marine platoon leader in Eastwood's 'Flags of Our Fathers.' Though the plot of 'Fast & Furious' may not always serve Walker and Diesel as well as it should, there's an authenticity about their line delivery still that puts across the myth of their camaraderie and loyalty to a code that Dom has, and Brian is still working on.At least the movie has the sense to make the opening hijack attempt a failure. It leads Dom to go and hide out in L.A. with his sister Mia (Jordana Brewster), who used to be Brian's girlfriend. That flame, predictably, is easily reignited when the plot needs a romantic boost.In the street race sequence, Dom has a GPS screen with a woman's soothing voice (that of Gal Gadot, an exotic new addition to the femmes list) to show the big boy and us where he is in his trajectory. This shows the influence of Paul WS Anderson's 'Death Race,' which took the car race genre up a notch. Alas, though, the slick technology takes us further away from the personal, homemade quality of street racing, which in the first episode was about horsepower and garage work and macho taunts, not visual stunts and hi tech screens. Despite all the crashes (more often head-over-heels than in real life) these movies make racing on the roads look safer than it should, which is why this movie has a detailed ""DON'T TRY THIS AT HOME"" disclaimer at the end. (And there is stunt driving in this movie, even though it's undercut by the CGI tricks.) You'd better believe that warning. Better not to drive at top speed into a half-shut Mexican mountain tunnel. And don't try catching a guy your pal has just dropped out a window, either.It remains to be seen if this movie, which is still fun and fast, helps Diesel and Walker on to the star rules they may deserve, or, what seems equally possible, just sidetracks them further. Lovers of the franchise are not going to be howling with disappointment, but new converts at this stage seem unlikely.",Chris Knipp,2009-04-03,2009,Positive,0.108,0.779,0.112,0.4905
6.0,Fast...but not so Furious,"The fourth film in the series, Fast & Furious is full of action but misses the mark once again. In my opinion, the film is much better than the previous two, as the original cast including Paul Walker, Vin Diesel, Jordana Brewster, and Michelle Rodriquez return. However, something has not returned from the original and that is the CARS. I could count the number of cars that interested me on one hand, and that is not a good thing. And once again, Paul Walker is driving a skyline and Vin Diesel is driving his American muscle. Come on where is the new stuff? Walker is an FBI agent and Diesel is his typical outlaw self. Both work together in bringing down one of the most powerful drug dealers in the country and they do a great job. The movie is full of action, with multiple entertaining action scenes. But what is missing are the most important factors of a Fast and Furious movie: street racing, tuners, and a plot people can actually relate with. The first film was so popular because, although it was a box office movie, it was full of real people and their actual cars. Fast and Furious 4 is too unrealistic with too much CGI...the director should have gone back to the roots of street racing.",Magalhaes9,2009-04-03,2009,Positive,0.078,0.769,0.152,0.9663
7.0,Better than the 1st movie,"I just saw this and to be honest I was hesitant in buying the $8 matinée ticket but wanted to see a movie and figured what the heck. First of all the 1st film was good, IMO the sequel and then Tokyo Drift were pretty bad but the 4th installment gave a ray of hope when I first saw the trailer. I liked the fact that it had a large part of the original cast.I enjoyed this film and was surprised. They actually wrote a good story and it flowed very well, the action and driving scene's were shot and edited superbly, you did get the feeling that you were in the car at times which adds to the intensity of the driving scenes. I also like the fact that they incorporated American muscle cars instead of just imports this way the movie will appeal to people of all tastes. Overall I was pleasantly surprised of how good the film was. Also the final scene of Phoenix's demise was different than the norm. Bottom line Go see it.",tonyzeno75,2009-04-03,2009,Positive,0.029,0.741,0.23,0.9921
7.0,"Thumbs up for Laz Alonzo, but ya gotta show more of the ladies!","Okay world, we have a new bad guy, a new nemesis, a new Hollywood heavy, Fenix Rise played by Laz Alonzo. Although billed as a supporting cast member, Mr. Alonzo carries this movie. He saves this otherwise routine action movie from cinematic complacency. The movie has a flimsy story, a ridiculous plot, and good if not exceptional acting from the two leads. Vin Diesel is always wonderful, but he's not the same great character from the original. However, the beautiful Jordana Brewster gives a credible performance but the incredible Michelle Rodriguez is practically no where to be found, which further weakens the movie. Why Ms. Rodriguez is given so little play is puzzling and her absence lowers the temperature of this movie by several degrees. Actresses like Michelle Rodriguez and Jordana Brewster are meant to be seen and admired, so, Hollywood, please showcase them because they are wonderful ... and hot.",PWNYCNY,2009-04-03,2009,Positive,0.086,0.717,0.197,0.9663
6.0,Don't waste your money,"I just wasted 2 hours of my live and $8 watching this piece of crap film. The only thing that kept me in my seat until the end was my love of the original F&F movie. I was glad that this one brought back the original cast, but seriously - the writers and directors of this one should be shot, along with the makers of that lame ass Tokyo Drift"". The acting was so beyond bad that I couldn't watch at times. One car race scene (in the city) was awesome, but the rest of the movie just looked like a cheap James Bond / Jason Bourne ripoff. Don't waste your money on this one, wait until it comes out on DVD and then you can watch it at home and make all the fun you want of it!",amanda_n_byrum,2009-04-03,2009,Positive,0.115,0.731,0.153,0.6622
7.0,A Nutshell Review: Fast & Furious,"The tagline caught my attention, promising a brand new movie with the original cast of Vin Diesel, Paul Walker, Michelle Rodriguez and Jordana Brewster. With the relative box office success of the first film, the sequel 2 Fast 2 Furious saw only Walker returning, with Tyrese trying very hard to step into the big frame of Diesel's without much success. Tokyo Drift picked up the adrenaline from the East's Initial D, injecting the franchise with some Asian flavour, though the only good thing out of that was the introduction of Sung Kang's character Han. So the 4th movie tries to bring together all the best characters to appease fans, and the timeline of this installment sits snugly in between the first and second movies where we learn that Han and Toretto do go all the way back together. Perfect.Vin Diesel had The Fast and the Furious back in 2001 to thank for in making him a household name, where every fan boy out there left the theatres chanting his name and wishing they could emulate his road stunts if given a car as powerful as that in the film. However we know how he turned his back on a franchise, and how his film career had turned out recently, with stinkers such as Babylon A.D. crowding out his filmography. If he's sorely in need of a return to form, then I guess it doesn't take much rocket science to figure out that he would be tempted to return to his Dominic Toretto roots after his cameo in Tokyo Drift.It was smart of Justin Lin to have featured Torretto in his film then just to whet the appetites of fans everywhere, and to helm this installment by trying to top the first film by getting the first cast all back. However, some parts do get rusty after so long, and in wanting to stamp his authority over the original, had made some drastic decisions in order to keep the engine fine tuned and purring. Since it's before the second movie, Toretto is still an outlaw, and Paul Waker's Brian O'Conner is now working for the FBI, before his unexplained turn to crime in 2 Fast 2 Furious, which gets explained here, if you wish of course.The plot doesn't drift away from the standard cop-robber formula, with a cat and mouse game brewing involving a drug run from Mexico and the USA making use of expert drivers to be couriers between the two countries. And when murder is in the name of the game, Toretto gets involved for vengeance, and O'Conner, well, just doing his job. It's just an excuse to see the Diesel-Walker team up, and the franchise's formula dictates plenty of random scantily clad girls gyrating in front of the camera, while hot cars with modified engines gleam seductively under dim garages, and the screeching of tyres when tearing up the roads.If a race movie is not your cup of tea (after so many copycats have come out to milk fans of the genre), then this franchise offers nothing new. Granted that Hollywood doesn't do car chases like it used to, relying a lot now on plenty of computer animation and graphics to spice up the sequences and entertain. Those itching to see a lot of action will have to contend with only 4 major set action pieces, with 2 of which happen in the same tunnel, one bringing back memories from the first film in a heist that doesn't go exactly right, and one being the nod back to Tokyo Drift in having a downtown city area night time race.Fans of the franchise will still find this a worthy addition, but everyone else would wonder why the effort. If this film continues to make money, I won't be surprised if the next film picks up from where Tokyo Drift left off, maybe with the return of Lucas Black's Sean Boswell joining the new crew in a new adventure, with new cars to smash, new babes to romance, and more nitro to burn up the tracks.",DICK STEEL,2009-04-03,2009,Positive,0.029,0.907,0.064,0.9386
8.0,Fast & Furious rocks!,"'Fast & Furious' is escapist cinema at its very best. The film is gripping, interesting, and most of all entertaining. I enjoyed the movie completely, its a power-packed entertainer. Two Thumbs Up!Pluses of the film: The film is gripping. Oustanding action sequences. Witty and catchy dialogue. Vin Diesel and Paul Walker deliver superb performances. Diesel in is top from, while Walker plays his part effortlessly. The chicks are decent.Minuses: The twist in the tale, arrives to early. I am talking about Diesel's track.On the whole, 'Fast & Furious' rocks. Go for this one!",namashi_1,2009-04-03,2009,Positive,0.064,0.721,0.215,0.9463
3.0,Slow and Plodding!,"Really, Fast & Furious is plain misleading, the title should have been Slow n Plodding. What an absolute drag.Exhibit A - Directionless director. With random hand-held camera, incredibly jerky footage, fast cuts all over, you never really get to see anything good. Of the cars at least. The races seemed like they were directed by Michael Bay. Every thing kept exploding and crashing. It was horrible!Exhibit B - Dom's double chin. Humungous, monstrous double chin. Bigger than his bald head. A mutant double chin. His evil doppleganger, even. Sure, I'm being superficial here, but it's a movie, and your job is to look good. Dom is tough muscle-head. A double chin just looks plain ugly!Exhibit C - The story. I think there was one, but I could be wrong.What was real good to see on the screen was some very nice mid-riff closeups of Michelle Rodriguez. Plus that other skank who shows up halfway through the movie, falls for Dom, and thrusts her real hard nipples towards him. He still turns her down. Go figure.",bottleHeD,2009-04-03,2009,Positive,0.062,0.846,0.092,0.8313
8.0,best one yet!,"This film, unlike the second and third installment, had a strong plot. if you like the F&F Franchise and go into the theater with a positive attitude, you will not be disappointed. unlike any other installment in the franchise, there is a much bigger variety of cars as well. much more of that good ol' American Muscle. and who can you think of that looks more bada$$ than Vin Diesel behind the wheel of a Chevelle and a Charger? and not to mention the babes! I mean thats what this series is all about right?Cars, babes, and mischief.overall, if you dig the franchise as much as i do, or even if u just like cars and racing, this is the movie for you. it is much more action packed than all of the other ones.",badblueboyz77,2009-04-03,2009,Positive,0.0,0.863,0.137,0.9605
