Index,Rating,Title,Content,Author Name,Date,Year
10,6.0,Same formula,"Comparing the original, I would say this sequel falls short of expectation. The storyline is very cliché and it is very predictive. Its the same tried and tested formula, similar to the 1st two movies. I don't see the Fast and Furious series movie this way. Tokyo Drift brought something different to the table, which I've to give Justin Lin the credit for it. This movie however goes back to the preview plot outlines of 1 and 2. Vin and Paul don't bring conviction in their roles, which I feel they probably opted for this movie for the sake of it.On the whole its popcorn fun. You get to see fast cars, hot chicks and good action sequences.I rate it 6/10",vishr,2009-04-02,2009
11,8.0,Now that's what being FAST is about!!!,"FAST..........FASTER and.......FASTEST.........all three words describe this one helluva action packed n pacey roller coaster ride........... The Movie opens to an exceedingly amazing action sequence where Dom n his friends, including Letty try to do what they are best at.......yup u right heist.........WOW!!! what a scene. Right after that the movie takes a serious path for a short while. Where Dom leaves Letty sleeping n goes away from her n goes to Panama. That's where he receives a bad news about someone's death(i won't disclose it) but it was a shock.......coz dat was d best character in d series. He then sets out to track down the one responsible. In comes Mr O'Connor looking like that something has changed and believe me it has changed for the better This 'New Model, Old Parts' is working. The action sequences are perfectly shot, Direction is cool, acting was amazing, Vin was cool as ever, the jokes were on the right place and in the right proportion. I thought it was better than Fast And The Furious(part 1). Although in the fast paced movie the script wasn't given much emphasis. But who needs a detailed script if the screenplay is damn good and can keep you on the edge of your seat. I go for 8 out of 10 for Fast and Furious 4.........The Fast just got Faster.....and how. GO WATCH IT!!!........coz u won't regret......",Tim_Jade,2009-04-02,2009
12,10.0,"Great movie, better than present movies","This is a great movie. A lot of action, deep drama, common-sense dialogue. This is pretty much a little grown up movie. This is definitely not a video game kind of movie. Vin Diesel is good in this movie with deep drama and struggle. I liked the dialogue that was real world. I liked the cars.This movie is definitely recommended for all younger people if you like or not like cars. This movie also doesn't have too much racing, which is fine. Watch the movie and your weekend will be much more entertaining. Ending was great too.Director Justin Lin did a fine job of directing the movie, which is crucial to sequel movies that tend to lose the depth and character development. He actually made it more serious movie than I expected and character development is well. I was expecting non-sense 24/7 racing with no dialogue, which it wasn't like that.",tom1111,2009-04-02,2009
13,8.0,Is this one the best one yet?,"This was a good movie. They were able to bring back all the things that made the first one great like Vin Diesel, Jordana Brewster, and Paul Walker, and let go of the things that did not work so well. All the things that you loved in the first one are here and a little more. Vin Diesel does a great job from start to finish. In parts of the movie it almost makes you want to leave your seat and cheer. For all you Paul Walker haters out there he did a good job as well. He is like a backup quarterback in the NFL you want him to manage the game don't try to do to much just do what is takes to win. Walker is not the star of the movie, but behind the star he manages his part well. He does a good job of playing his part and not going beyond that and try to make a great performance. Walker acts within his ability. I for one am not a Walker hater so I never felt like he did a bad job, but I know there are a lot of you out there and you will be happy with his performance in this movie. Just the right blind of action and cars. For all the people that loved Han from Tokyo Drift don't get really excited, his role is only for about 3 minutes at the beginning of the movie. This is not a movie that is going to win any Academy Awards, but it is a movie that will keep you entertain for an hour and forty five minutes. Worth the movie to pay to see this one in the theater. Which is saying a lot for the way the economy is right now. It is the best one in the series.",blake-brown20,2009-04-02,2009
14,7.0,"All Told a Good, Enjoyable Entry","It goes without saying that the Fast and Furious franchise hasn't had a good run with the critics. Yet the films have had a mostly fair run at the box office, so they've gradually been released. The first entry is almost unanimously regarded as the best in the series while the second and third are typically frowned upon. For my two cents, the first and third are about equal while the second is best kept as a distant, forgettable memory. Given that this film is coming from Justin Lin, who directed Tokyo Drift, the least that should be expected are some well shot action scenes involving cars. Though enthusiasts of the series will also be looking for satisfaction to the story as well. Does it succeed? Yes, in most ways. The film opens with a bang as Dom, Han (from Tokyo Drift) and a couple other unknowns to the series attempt to steal some gas tank trailers off of a truck which, needless to say, doesn't go without a hitch. After this and a quickly filled in plot piece, we find out that Letty gets murdered and Dom naturally seeks revenge and returns to the U.S. With this and a current assignment, Brian O'Connor (from the first two films) is brought into the mix as he attempts to go after the same people Dom hunts down. The premise is decent enough with skepticisms and indecisiveness playing a large role between the characters. Speaking of the characters, one area of concern fans of the series might have is how well they're still executed and fleshed out after nearly ten year absence from each other (in regards to the film's release dates). Fortunately, the main cast mostly pulled off fair enough performances to stay convincing enough, though it isn't without some melodrama here and there. Fortunately, these moments aren't too frequent and don't hinder the film all that much. Diesel manages to pull of the usual 'just decent' performance that he's had in practically all of his films. Walker actually feels like the most fleshed out character and comes off as a better performer than Vin. As for the supporting cast, they're all just fair at best, with only one or two performances any better than that. But since this film is called ‘Fast and Furious’ and is part of that very franchise, what most people will likely expect going in is for it to be, well, fast and furious. In this sense, the film does succeed quite well. Credit definitely has to be given to Lin for the action scenes involving the cars. The action in these parts are frantic and very exciting, with plenty of awesome, speeding cars to add adrenaline to these scenes. If there's anything you'll want to do at the end of the film, it'll be to get in your car and start shattering the speed limits. What Fast and Furious does best is give you an adrenaline rush during its action scenes. The film lives up to its name and will give those wanting some great car action sequences something to enjoy. When action isn't the focus of the film, it's far easier to find issues and be a bit turned off. But if you're a series fan you should be able to enjoy most of what the film offers and will likely walk away quite satisfied as I did. The first and third films are still my favorites in the series, but this installment is about as good as the first film and is miles above the laughable 2 Fast 2 Furious.",Hellrazr360,2009-04-03,2009
15,2.0,Review of the 4th and Comments on the F&F Series as a whole,"No doubt they will be making a 5th as these movies are cheap enough to make and still moderately successful with the built in fan base. I say with the built in fan base because, with the lack believability of the 3rd one and the 4th one, no one but the rice boys would want to see a 5th one!!! I could write a better script and be a better director than Lin ever thought of being (remember interview where he said he was not a car guy)!!! The 3rd one was just stupid as it was so unrealistic and had no real character development; it just seemed to be a stereotypically western view of Japan. Yakuza and drifting, sure FF4 is just too slow at the start, feeling more like a bad episode of ""Cops"" or something. It was just kind of boring, and it was not like there was any real character development. And, as usual (except for the FF2 to a degree; i.e. FF2 was kind of like Miami Vice), there was no real believable plot; using a secret tunnel and street racers to smuggle drugs, sure, whatever... The races in the movie were just far to scattered, like they wanted to make this a movie about everything except the cars, heck they only showed an R35 once that I could tell (the red car on the screen when Brain is selecting his car) and used the R34 a few times. It felt like it just went on-and-on with its bad take on a cop drama. I was ready to leave before the ending credits, sad... It really felt like they wanted to have some type of one dimensional character development, like they wanted to make a serious work, but it fails at that. It also tries to tie up the ""loose ends"" as they stated they would do, but again, I don't think they should have tried. And Brain back with the FBI, what was with that? I thought that at the end of the 2nd one he was going to open up a tuning garage, what happened? Heck, that could have been more interesting; Brain gets involved with something that has to do with his new tuning shop and some kind of, well heck, organized crime (yes, that does seem to be the only answer the script writers have with this series of movies as a plot engine)! And of course, the end of FF4 works perfectly into the soon-to-be 5th installment! I see it; now Dominic and Brain must flee the USA to Europe and get involved in stopping the smuggling of, you know it, drugs! Oh, and Universal, if you want someone who can really make a real car movie, see me",roadbuster-1,2009-04-03,2009
16,8.0,Way better than expected,"This was what I was looking for. Raw action, Hot girls, Amazing cars, Original cast. This is what the third movie should have been. Probably the best action movie released in a few years. Less teenage wanna be street race punks and more actual story line involved with this movie. I'm not sure how anyone could down rate this movie unless they actually are intending to. You know what your going to go see when you go to see a title like this. I was pleasantly surprised. Bringing the original cast really payed off, seeing Vin Diesel, Paul Walker and the amazingly beautiful Jordana Brewster back in this film really tied the story together. Definitely a movie to go see in the theaters.",weird_guy81,2009-04-03,2009
17,10.0,Loved it!,"I loved this movie. So much things in it that make me wish that all the Fast and the Furious movies had these two in them. Towards the end of this movie, Dom gets sentenced to 25 to life in prison. You can obviously tell that O'Conner does not like this and storms out of the court room. Then you see Dom on a prison bus, but behind it you see 4 tuned up cars racing up behind the bus. Then it shows O'Conner and Doms sister, and a few other people. Then the movie ends. I really hope to see more Fast and the Furious movies with these two in them. It was simply amazing, I strongly recommend going to the theater and seeing this movie. I HOPE THAT THEY MAKE ANOTHER ONE OFF OF THAT ENDING!!!",flemingc11,2009-04-03,2009
18,10.0,A reunion thats worth attending.,"The first Fast and the furious movie was something like a phenomenon for me as a teenager. It had amazing cars, gorgeous girls and introduced two stars to the mainstream audience, Paul Walker & Vin Diesel. The second film only brought back one of them..and while it wasn't terrible, the vibe and energy from the first seemed to be drained out due to this actors presence missing. I wont even begin to explain my disliking of the third film aside from its direction, because we would be here for hours. Finally, for whatever reason, maybe money, maybe careers not going where they were supposed to, these two guys came back together along with their love interests from the first film..and I, for one, am happy that it went down. The action sequences are top notch, easily the best in the series. The cars are AMAZING..if you are a car guy you will flat out love the choices in the film. The acting is..well, tolerable. I read reviews for this film laughing out loud. It sounded like critics were expecting Slumdog Millionaire. Come on people..its the fast and the furious. It is supposed to be fun, loud and exciting. Not Oscar worthy. I don't want to give away anything like most reviews do because i know fans of the series would rather see it for themselves. It is satisfying and i would say, almost as good as the original. For its action sequences, pace and overall feel..i give the film a 10/10.",furiousneon,2009-04-03,2009
19,8.0,"A Fun, Fast Ride!","While this second movie of Vin Diesel's ‘Fast and Furious’ Trilogy did not impress me as much as its predecessor, ‘The Fast and The Furious’  did, it was definitely worth my money and time, I thoroughly enjoyed every speeding second! The film will meet your expectations of a good plot, witty humor, fast cars, sexy people and down-to-earth fun, and might even have you gripping your seat in a few of the fast-paced driving scenes. While this second movie does not have as many awesome cars as the first film, ‘The Fast and the Furious’ did, it still keeps you wanting more of the unbelievable yet awesomely choreographed driving and action sequences it boasts throughout the entire movie. Dominic Toretto (Vin Diesel) and his crew are back in action once again, ready to kick butt and take names in the second of what will be three great, fun-filled movies, so if you enjoyed the first film, I definitely recommend you see this one!",limelybean,2009-04-03,2009
20,10.0,Great Movie.....Feed the need for Speed,"This is a great movie. Vin and Paul come back, Michelle and Jordana are still there it was great to pick up where everyone else left off at. Sure that in the time since Brian (Walker) had found out that its been Dom (Diesel) ripping off the trucks that he had gone off to Miami to bring in drug lord and recover missing money. Then the whole series takes off to Tokyo where it had nothing to do with the original cast or the original plot. Dom is kicking it down in the Dominican Republic with Letty (Rodriguez) pulling the same stuff they did in L.A. Dom leaves to save Letty but she ends up getting murdered by the new gang in town headed by a Columbian drug Cartel. The Charger/Challenger (not sure which one Dom has) makes it comeback only to get destroyed once more. Other than the typical Brian working for the government to bring in the bad guy and having a love affair with Mia (Brewster) in the process while still trying to save Dom...this movie was great. Fast cars, hard hits, hot women....this one returns to the true F&F fashion of feeding the need for speed.",gothicraige,2009-04-03,2009
21,8.0,best one yet!,"This film, unlike the second and third installment, had a strong plot. if you like the F&F Franchise and go into the theater with a positive attitude, you will not be disappointed. unlike any other installment in the franchise, there is a much bigger variety of cars as well. much more of that good ol' American Muscle. and who can you think of that looks more bada$$ than Vin Diesel behind the wheel of a Chevelle and a Charger? and not to mention the babes! I mean thats what this series is all about right?Cars, babes, and mischief.overall, if you dig the franchise as much as i do, or even if u just like cars and racing, this is the movie for you. it is much more action packed than all of the other ones.",badblueboyz77,2009-04-03,2009
22,6.0,Very Fast Very Furious,"It should have been called ‘The Fast and The Furious - The Dark Tunnels’ or ‘The Fast and The Furious - The Traffic Re-Routers;  Drifting was a big event in FF3 which is a pie cake for everyone in this installation. If you compare all releases on Fast and Furious, the 1st Installation still rocks! Then after that comes FF4, then Tokyo Drift and the least exciting was the second part. Brian O'Connor (Paul Walker) crazily kept on changing his mind which route to take while driving. He did this all the time in the movie. If he reached a dead-end, he quickly routed his car to a new path. Amazing ! The only thing which I think had potential was when they come to rescue Vin Diesel in the end. The writers could have kept it for the next installation along with a fast-on-feet, jailbreak chase sequence. Very few street races, Amazing Direction, very few scenes for Michelle (Laticia/Letty). I feel a bit cheated because I expected to watch Jordana Brewster (Mia) who had not many scenes in the movie. Definitely a good watch!",quaker-9,2009-04-03,2009
23,8.0,Fast & Furious rocks!,"'Fast & Furious' is escapist cinema at its very best. The film is gripping, interesting, and most of all entertaining. I enjoyed the movie completely, its a power-packed entertainer. Two Thumbs Up!Pluses of the film: The film is gripping. Oustanding action sequences. Witty and catchy dialogue. Vin Diesel and Paul Walker deliver superb performances. Diesel in is top from, while Walker plays his part effortlessly. The chicks are decent.Minuses: The twist in the tale, arrives to early. I am talking about Diesel's track.On the whole, 'Fast & Furious' rocks. Go for this one!",namashi_1,2009-04-03,2009
24,7.0,Mediorce At Times But Always Entertaining,"When a crime brings them back to L.A., fugitive ex-con Dom Toretto (Vin Diesel) reignites his feud with agent Brian O'Conner (Paul Walker). But as they are forced to confront a shared enemy, Dom and Brian must give in to an uncertain new trust if they hope to outmanuever him. And from convoy heists to precision tunnel crawls across international lines, two men will find the best way to get revenge: push the limits of what's possible behind the wheel. Like i said before it is very mediorce with various racing scenes but Vin and Paul once again deliver a fun, fast and very furious masterpiece that can replace the embarrassment of Tokyo Drift. Fast And Furious 7/10",MCMAYNERBERRY,2009-04-03,2009
25,7.0,A Nutshell Review: Fast & Furious,"The tagline caught my attention, promising a brand new movie with the original cast of Vin Diesel, Paul Walker, Michelle Rodriguez and Jordana Brewster. With the relative box office success of the first film, the sequel 2 Fast 2 Furious saw only Walker returning, with Tyrese trying very hard to step into the big frame of Diesel's without much success. Tokyo Drift picked up the adrenaline from the East's Initial D, injecting the franchise with some Asian flavour, though the only good thing out of that was the introduction of Sung Kang's character Han. So the 4th movie tries to bring together all the best characters to appease fans, and the timeline of this installment sits snugly in between the first and second movies where we learn that Han and Toretto do go all the way back together. Perfect.Vin Diesel had The Fast and the Furious back in 2001 to thank for in making him a household name, where every fan boy out there left the theatres chanting his name and wishing they could emulate his road stunts if given a car as powerful as that in the film. However we know how he turned his back on a franchise, and how his film career had turned out recently, with stinkers such as Babylon A.D. crowding out his filmography. If he's sorely in need of a return to form, then I guess it doesn't take much rocket science to figure out that he would be tempted to return to his Dominic Toretto roots after his cameo in Tokyo Drift.It was smart of Justin Lin to have featured Torretto in his film then just to whet the appetites of fans everywhere, and to helm this installment by trying to top the first film by getting the first cast all back. However, some parts do get rusty after so long, and in wanting to stamp his authority over the original, had made some drastic decisions in order to keep the engine fine tuned and purring. Since it's before the second movie, Toretto is still an outlaw, and Paul Waker's Brian O'Conner is now working for the FBI, before his unexplained turn to crime in 2 Fast 2 Furious, which gets explained here, if you wish of course.The plot doesn't drift away from the standard cop-robber formula, with a cat and mouse game brewing involving a drug run from Mexico and the USA making use of expert drivers to be couriers between the two countries. And when murder is in the name of the game, Toretto gets involved for vengeance, and O'Conner, well, just doing his job. It's just an excuse to see the Diesel-Walker team up, and the franchise's formula dictates plenty of random scantily clad girls gyrating in front of the camera, while hot cars with modified engines gleam seductively under dim garages, and the screeching of tyres when tearing up the roads.If a race movie is not your cup of tea (after so many copycats have come out to milk fans of the genre), then this franchise offers nothing new. Granted that Hollywood doesn't do car chases like it used to, relying a lot now on plenty of computer animation and graphics to spice up the sequences and entertain. Those itching to see a lot of action will have to contend with only 4 major set action pieces, with 2 of which happen in the same tunnel, one bringing back memories from the first film in a heist that doesn't go exactly right, and one being the nod back to Tokyo Drift in having a downtown city area night time race.Fans of the franchise will still find this a worthy addition, but everyone else would wonder why the effort. If this film continues to make money, I won't be surprised if the next film picks up from where Tokyo Drift left off, maybe with the return of Lucas Black's Sean Boswell joining the new crew in a new adventure, with new cars to smash, new babes to romance, and more nitro to burn up the tracks.",DICK STEEL,2009-04-03,2009
26,6.0,Don't waste your money,"I just wasted 2 hours of my live and $8 watching this piece of crap film. The only thing that kept me in my seat until the end was my love of the original F&F movie. I was glad that this one brought back the original cast, but seriously - the writers and directors of this one should be shot, along with the makers of that lame ass Tokyo Drift"". The acting was so beyond bad that I couldn't watch at times. One car race scene (in the city) was awesome, but the rest of the movie just looked like a cheap James Bond / Jason Bourne ripoff. Don't waste your money on this one, wait until it comes out on DVD and then you can watch it at home and make all the fun you want of it!",amanda_n_byrum,2009-04-03,2009
27,7.0,"Thumbs up for Laz Alonzo, but ya gotta show more of the ladies!","Okay world, we have a new bad guy, a new nemesis, a new Hollywood heavy, Fenix Rise played by Laz Alonzo. Although billed as a supporting cast member, Mr. Alonzo carries this movie. He saves this otherwise routine action movie from cinematic complacency. The movie has a flimsy story, a ridiculous plot, and good if not exceptional acting from the two leads. Vin Diesel is always wonderful, but he's not the same great character from the original. However, the beautiful Jordana Brewster gives a credible performance but the incredible Michelle Rodriguez is practically no where to be found, which further weakens the movie. Why Ms. Rodriguez is given so little play is puzzling and her absence lowers the temperature of this movie by several degrees. Actresses like Michelle Rodriguez and Jordana Brewster are meant to be seen and admired, so, Hollywood, please showcase them because they are wonderful ... and hot.",PWNYCNY,2009-04-03,2009
