Rating,Title,Content,Author Name,Date,Year
10.0,It was a great movie!,This movie was the best!! I am so going to buy it when it comes out! I think the writers of the movie should make many more of Fast and the Furious movies and the next 1 should have Paul Walker!!Vin Diesel! nd Lucas Black!!!!! all in the same movie. That would be so0o0 awesome nd it should be in Europe!!! That would be great!Well everybody told me they enjoyed this movie nd so did I. Well I really am going to be waiting for another one coming out.. with Lucas Black in it. Man was Lucas Black hot in this movie!!Well yea I'm really going to buy this movie without a doubt on my mind!I mean the cars were hot and everything was hot in this movie!,Dlife921,2006-06-16,2006
10.0,this movie was off the hook it was better then the first 2,"The Fast and Furious Tokyo Drift not only contained evos, skylines and the vielside Mazda rx7 it contained a lot of hot girls and for u guys that like classic cars it contained that. The 67 mustang they supped up wit a skyline engine was crazy and i know everyone will fall in love with it. Also a great ending it just never stopped wit the action the whole audience was going crazy at the end wit Vin diesal return but its only for like 2 mins, but this movie u will be on the edge of ur seats. This one was much better then the 2nd movie and just a little bit better then the first but the lead actor black is the next Paul walker this movie rocked.",ballermm,2006-06-16,2006
10.0,Running in the 90's.,"Way better than the first two, though the lead actor had this mid-western accent which threw me off a little. Some of the drifting was unrealistic, but the storyline wasn't all hip-hop'd out with stupid walking styles and saying ‘breh’ and ‘brah’ at the end of every sentence. The Teriyaki boyz' theme song was good, the storyline was pretty good and the girls are hot of course. If anyone has seen the Initial D movie, then this movie is better than that one. There is a little love story kind of, but most of it is drifting action. Keiichi Tsuchiya (the real, one and only Drift King) makes an appearance in it as an old man fishing ‘You call that drifting?",blackdakkon,2006-06-16,2006
10.0,intense car chases leaving you on the edge of your seat!,"wow.. i had my thoughts about this movie.. i liked the first 1.. i watched half of the second one and i quite watching it half way in it.. and now were at the third one.. when it started i was like interesting. about not even 5 minutes in the movie, we see one of the many car chases/races that will leave you on the edge of your seat. for people that didn't think this movie had a story, it sure did, and it flowed good. the theathre was full and i don't think anyone left but i was too focused on the movie.. i can well say it was well worth the admission price. i highly recommend this for car racing fans or someone looking for a lot of action. 10/10!",video_game_lover_122,2006-06-16,2006
10.0,Blew Me Away,"There is no doubt that automobile racing is becoming an obsession in many parts of the world, including Japan, it seems. Tokyo is a city full of lights and music and also a dark side, including gangsters and reckless racers, much like the untamed America of the prohibition era. Lucas Black, a rebellious Alabama teen racer, is sent to his father in Tokyo to settle down. Instead, Lucas learns the sport of ""drift racing"" from Japanese gangster youth in which racers use spinning tires and their brakes to make fast turns around the curves of parking garages and mountain roads. Those who aspire to win smiles from the foxy Japanese girls and the admiration of Japanese males have to win these drifting contests. Despite a steep learning curve, young Lucas does not disappoint in this matter. This movie has superb photography of the beautiful people and stirring landscapes of Tokyo. The exciting action and inspiring music have to be experienced to be believed. The ensemble of young men and women does a great job of providing a glimpse of this advanced culture of modern Japanese youth, overflowing with style and passion. This movie skillfully shows off modern Japan as perhaps a neglected subject of cinema. And, the well-crafted and intricate plot is full of teenage rivalry and violence, similar to an updated ""Rebel Without a Cause,"" very fascinating and passionate.",phillipstephenso,2006-06-16,2006
8.0,The Series gets better and better,"When I first heard about The Fast and The Furious 3 from this site I was thrilled. I checked every week for new info. When i went to see it I thought it was the best of the lot. I thought the first race was equally as good as the last. I found with the other 2 the attention moved off the races and onto other things e.g. Carlos Verone, Monica Vuentas and Mia Toretto. I personally thought the twist at the end with Dom was a perfect ending despite not actually seeing the race. I have also found out the connection between Han and Torretto. After Dom's brief with Letty in Mexico they returned to California where Johnny Trent's car gang was falling apart and then Han transfered from johnny to Dominic where they raced for about a year. Thats about when Han returned to japan and Dom went around the time Shaun beat D.K. (The Japanese version of Justin Timberlake).",gedders2006,2006-06-17,2006
9.0,Absolutely Awesome,"If you liked either of the previous Fast and Furious movies, see this movie. If you like cars, see this movie. If you like hot girls, see this movie. I'll grant that the plot isn't super intensive, but the mix of plot intertwined with action was great. I think that the 2 Fast 2 Furious plot of 'cops and drugs' has been used a little too much, and yet that movie still had redeeming features. I don't know why there is so many people who think it wasn't worth the money. Lets face it. There are VERY few movies that have: great plots, Awesome action, and very hot chicks. I watch movies a lot and i have only seen - at most - 5 movies that have the above content. It also depends on the viewer and their preferences. If your confused about whether you want to see Tokyo Drift or not, my advice is to ignore what anybody says about it and to just go and watch it for yourself and decide whether it was or wasn't worth it.",mutated_carcass,2006-06-17,2006
7.0,Solid,"I have seen the other reviews of this film that are negative and I just don't understand. This is no high concept, high-brow. This is girls, cars and loud soundtrack. What did you think it was going to be? Some great racing scenes. This could have easily just been another racing for cash film, but it actually was smart in pulling in the drift scene. Same cars, but different style of racing.Overall I thought the characters were fun. Again, nothing high concept here. Just enough info for you to separate the good guys and bad guys. Throw in a little romance and there you have the formula that made the other two films in this franchise hits.",RCWjr,2006-06-17,2006
1.0,Worst movie ever,"For a time I didn't know which movie I had as number 1 worst movie, but now I do :) The scene where they ride downhill and try to make it ""lovestory"" kinda like, I was so embarrassed that I had to close my eyes and ears. Worst dialog ever :P Worst casting to by the way, Lucas Black gotta be one of the worst actors I've seen in a long time, what was with the accent, bad smile and stupid grin ? Every time he said something deep was just hilarious, that guy cant act for sure. Even the scenes with drifting got boring, cause its the same and same all over again, from start to end. BoooooringMy few words :)Over and out",maeha,2006-06-17,2006
9.0,Was much better than 2Fast 2Furious but with small flaws...,"I thought that the movie was awesome. However, there were some minor set backs which made me think ""now that is stupid"". To start off, I thought that Bow Wow should not have been in the movie, but he did do a good job. I just think it is stupid that they had to get someone famous like that for that part... Another thing...Shawn Boswell was a great actor but his country southern accent seemed too fake. It seemed like he was 'trying to hard' if you know what I mean. Last thing for now...Vin Diesel's appearance was not needed. It was just really stupid how he just showed up for 10 seconds! Anyways, to make a review short, it is a great movie and you should see it if you liked (or didn't!) the first or second Fast and Furious.",FlyersPh9,2006-06-17,2006
8.0,It is a very entertaining movie.,"OK, I walked in expecting another fake street racing movie. The first Fast and the Furious was quite entertaining. The second just felt like a 90 minute commercial sponsored by Mitsubishi and Yearone. Honestly, this movie was really great, it felt really good to watch. You can really connect with the main character(Lucas Black). I dunno, you can sense a lot of sincerity in his character. He loves what he does and thats it. The jump from drag to drifting doesn't seem to really get to him. The fact that this movie doesn't rely on the cars as the main characters is really great. The acting itself in this movie was wonderful. I love watching a good classic movie just like the rest, but sometimes you just need to see some mindless car scenes and unwind a bit. Oh, the other thing I loved was the cameos! We have the original drift king with his one liners. Funny. We also have the so ever popular Sonny Chiba(aka the swordsman from Kill Bill). Last and not least, Vin Diesel is back",jin_ecko72,2006-06-17,2006
3.0,"Lackluster plot, brainless bimbos, & Some Rotten Acting","Well I never had the intention to see this movie, but my friend who has no taste in movies implored me to accompany him to this movie that promises to bring in a marginally slim profit. So a disrespectful adolescent is sentenced to go to his father who lives in Tokyo when he is apprehended by the local police when he decimates a construction site. For reasons I do not know, he was not incarcerated, apparently he can just be relocated. In Japan he in pulled into the ‘underground’ of competitive racing that incorporates a technique called drifting, I suppose no one on the continent of North America had ever had the notion of drifting before. So then while he is in this strange land he falls for the girl who's boyfriend is the nephew of the don of the Yakuza. Uh-OH, bit trouble! There's animosity, so how does it get resolved? By the means of a race! The race sequences are intriguing at first, but later they just become repetitive and use an endless string of shots that just disorientate the audience to create the cheap illusion of insane speed. The dialog isn't too much too look at, I almost died when the cliché of ‘let's end this once and for all’ was used to prompt the ‘final showdown’. Something else that I could not wrap my mind around is that the girls are not only flat out promiscuous in this renegade's dreamland, but also that they can be one over something as trivial as a car race. The director did a decent job, but a lot of his techniques were pretty minimalistic. But perhaps the most annoying aspect of this movie was the southern hick accent that was laid on pretty thick by Lucas Black. All in all, this is just going to be one of those movies that will fade into the obscurity of Action section in the back of Blockbuster video. If you want to walk away from a movie and feel fulfilled, just wait for Superman Returns and save yourself $7.50",boxybrown13,2006-06-17,2006
6.0,Give it a chance...,I'm giving this a 10 because it was SO MUCH BETTER than I thought it would be. I didn't think I could get past Lucas Black's heavy accent. He toned it down to a believable one that didn't get in the way of the story.This film moves quickly and doesn't stray too long on dialog and kissy-face. (Was there any?) The folks that gave this movie a 1 out of 10 obviously didn't see and don't like the franchise and feel that they can bash a movie in 10 lines or more and feel better about it. Those people should just go watch South Park and stop whining. This movie is entertainment in the purest form. I will see it again in the theaters soon.,wilkinsd-1,2006-06-18,2006
4.0,expected better,"Tonight I watched the fast and the furious: Tokyo Drift.The drifting is fun to watch, but a campy plot and too much development time makes attempting to deepen an already shallow storyline seem much too overbearing. The acting, while not terrible is nothing great and the character's personalities are forced and way over the top. While this isn't a big surprise to anyone who has watched the other movies in series, the lack of well known cast members made it more apparent then usual. Plus, there is almost no police intervention in this one. even as a car drifts into a massive crowd of people and seconds later explodes, causing chaos.Apparently in Tokyo, the police don't mess with street racers because they can't catch them. Seriously, that's how it's explained.On the plus side of things, plenty of eye-candy can be found everywhere, and I'm not just talking about the cars. Japanese women are all portrayed as beautiful and stylish import girls, and their tiny vinyl skirts are just about as shiny as the finish on the cars. One thing must be said though. Japanese men are no where near as pretty as their women here. I'm sure some will disagree, but wow. Someone get those boys a mirror.Overall, it's not a dreadful film as there are some high points particularly during some racing stunts, but it's odd how young everyone is. Appparently the lead character isn't even out of high school. Right from the introduction the film generalizes what audience this movie geared towards. What makes this even dumber is how what they are doing is illegal. Bunch of kids disobeying the law and the cops could care less.It's rather mediocre for the most part and the only thing compelling me to recommend it for would be the racing, but i feel that there isn't even enough of that to balance this movie out.Pretty disappointing.",thefuzmixman,2006-6-1,2006
7.0,yes the acting is bad ... it's a car movie,"I don't know why this movie got a 4.7. I saw Nacho Libre last night, and aside from a few hederian gimmicks that (embarrasingly) made me laugh, I found myself asleep by the time he ""ran to the wilderness"". Nacho wasn't just dumb ... It was 100% worse than utterly boring.""Tokyo Drift"", on the other hand, had a lot to offer. Sure it was like candy ... fast cars, danger, fire, guns, women, nice street shots of Tokyo, and Sonny Chiba as a Yakuza boss... but at least it knew what it was ... a corny car movie only out entertain. Hey, I'm a guy ... what can I say. Besides that, it's Fast and Furios for goodness sake .. what were you expecting, Bullit? Nacho just tried to hard to be some clever indie movie, and frankly all those dirty-nerdy temptations from childhood were already explored in Dynamite and are now best left hidden away in the past. Nacho tried to be something. But something it was not. And with it's cast and ""pret-indie"" (my term so y'all better give me credit) look, it wasn't even an indie flick.If I had to put the two side by side in a race, my 10 bucks would be on Tokyo Drift. It's a good movie for the big screen. Wait for Nacho to come out on video, so you ""walk out of the movie"" without feeling bad about having gone to the theater.Despite the previews, there's nothing redeeming about Jack Black flexing his buttocks in those white pants. The rest of that scene is so dumb I wanted to stick a corn cob in my eye.",kimchimofo,2006-06-18,2006
5.0,the fast and the furious Tokyo drift,"i saw the fast and the furious. the movie is not really as great as it is supposed to be. The main character, sounds like Cletus, the slack jawed yokel. There are moments in the movie where the director intends some scenes to be very powerful and emotional but the performances, given by the actors are mediocre and average at best. Unless you are total rev - head fan and would like to sit through all the unconvincing performances for nearly two hours just to see the cars, then this is the movie for you. if you are someone who likes to actively engage with the story, forget this movie and save your money. The other thing that is wrong with this movie is that they cast bow wow as the sidekick. he is just as bad as the will smith and the martin Lawrence partnership in bad boys 2. the one notable exception are the two characters, drift king and Han - who serves as a mentor for our friend. who incidentally looks like he has been hit with a shovel",pinapati2,2006-06-18,2006
8.0,The Best Thus Far,"The Fast and the Furious: Tokyo Drift took me by complete surprise. The movie completely redeemed the series following the Too Fast, Too Furious fiasco. Although the movie does not contain the appealing American muscle cars of the first title, the eloquent interpretation of drifting as a racing style (art form)and the culmination of turbo charged 350 Z's and RX7's,lets the picture differ from the typical concept of headstrong American drag racing. Decent acting and an even better storyline, allows the viewer to embrace the techniques in Japanese underground racing. Plus, Vin Diesel's cameo is ridiculously bad ass.",irishprd88,2006-06-18,2006
6.0,"Not award winning material, but decent.","Lets get one thing clear, you are not going to a Fast and Furious movie for the groundbreaking plot and acting, you go for the cars, the racing, and the babes. Tokyo Drift is basically the same if not a little better than the previous two as far as the racing is concerned. There is the street racing that the series is famous for but also the addition of drift racing, which adds a new bit of spice to the flavor. As I mentioned the acting and the plot are so so at best, not something you will be groaning over but not enough to really drag you in and connect you with the characters. However it is my opinion that the plot here is better than in the second movie. Lucas Black from Friday night Lights replaces Paul Walker as the main character here, and Bow Wow is along for the ride as the trusty friend/sidekick. A few cameos from other actors and movies are thrown in as well. From beginning to end this movie does hold your interest with the racing, and for that the weak plot and questionable acting can be forgiven. Cars get wrecked, punches get thrown, loud music is played, and the hero has to do what he thinks is right. Bottom line, if you enjoyed the previous two, or even enjoy car racing movies at all you should get some entertainment value out of this one. Not the best movie to ever grace the silver screen, but I had a good time.",madmax_thegamer,2006-06-18,2006
9.0,From someone who has reviewed more than ONE movie ever,"I'm not sure why this movie didn't spark the interest that the other FATF movies did but I think this is the best one of the three. The cinematography was awesome, the women are gorgeous. The villain was believable, it has almost non-stop action, and some genuinely funny lines. I never believe any reviews from anyone that has only reviewed one movie because they obviously have an agenda in either over hyping or needlessly trashing a movie. What I don't understand is why isn't anyone putting legitimate critiques up of this movie. The weakest point in this movie is trying to swallow that a guy w/ a southern accent could so instantly be accepted and trusted in a prominent drift club in Tokyo. OK suspend that disbelief and this move MOVES! I never once felt bored or lost or clicked my tongue and rolled my eyes like I did in the last FATF movie. Maybe people were hoping for more of the same trash, I'm not sure but this is an above average, I'd even say exciting, summer race film not like many others. I hope this sparks some other real reviews.",yoncenator,2006-06-18,2006
10.0,Correcting the above person and some things i thought about the movie,"There weren't any HUGE glaring inaccuracies (other than daddy throwing sonny the keys to a car with NO ENGINE in it...) < WHAT YOU SAID IS INCORRECT. The Car he received from his dad had no engine, But he had put another car's engine into the car. It was shown in the movie. The movie was pretty good. I do like cars and if you like cars also you should see the movie. The action was good all around which made it a good movie. Drifing is pretty cool and if you would like to see how drifting is you should also see the movie. I give this movie a 10 because it shows how drifting is.",BksNinja,2006-06-18,2006
1.0,"Horrible movie,","Possible spoiler warningThis movie was horrible as I kind of predicted it would be. The lack of reasonable plot and plot holes spoiled it.As a Navy brat that lived in Japan when I was a kid, I for a fact know that Navy kids do not attend Japanese schools, they attend American schools. Navy officers do not live in shacks in Tokyo, they live on the base, because they get big houses for 25% of the price. In Tokyo drift they do neither of these things. I'm almost 100% sure that the Yakuza have no interest whatsoever in drifting. They'd prefer to be making money. I'm also sure that not every drift car in Japan is sponsored and covered with stickers. As a person who is/was pasionate about the sport of drifting, the way this movie portrayed it was a joke. Basically this was another attempt by Hollywood to grab onto pop culture and warp it to their ends to make money. I fear all it will lead to is idiot kids killing themselves and others.",onig-1,2006-06-18,2006
4.0,"Not Much Of A Movie, Although Lucas Black Is Good.","Let me be honest and say I saw this film solely because Lucas Black was in it. I like his tough look and sweet Alabama drawl, but despite his presence and a couple of good driving stunts, this is a nothing movie. It's reminiscent of the ‘Stock Car Race’ movies from film companies like American International Pictures that were commonplace when I was a kid. While I am usually willing to do it, too much suspension of disbelief was expected of me for my own enjoyment. Lucas Black is about 24; he cannot play a seventeen year old. The story of the film would still have worked if Sean, (Black's character) was his real chronological age. They could even have used the same plot device of him wrecking a housing development in an illegal race and that is why he's sent to stay with his dad in Japan instead of going to jail. But to pretend that Sean is 17 is just dumb. Nobody would give that much credence to a 17 year old no matter how tough. The ‘Tokyo Drift’ part is also kind of dumb. It seems to be a driving stunt wherein you propel the car forward in a sideways position. This is used to a fun effect with the drivers getting to the top of a parking garage and all, but this ‘drifting’ as it's called I have seen before in stock car races. I've seen it in James Bond movies and in last years The Dukes Of Hazard movie. In fact, ‘drifting’ is the whole major plot point in the Pixar film Cars and in Owen Wilson's inability to do it well. In fact, watching the drifting in The Dukes Of Hazard was better because it was filmed with longer shots. Director Justin Lin does too much MTV style quick cutting and it gets annoying. That kind of rapid cutting really only works in limited doses, it is tiring over the length of a feature film. Besides, in The Dukes Of Hazard, I had the feeling that the stunt people were actually driving the cars, in this its one cut after another and you don't get any sense of the cars being driven. The scene where about ten cars come ‘drifting’ down a mountain road is cool, but the story is still dumb. Too bad, I really want to see Lucas Black in something better. There is something very attractive and real about him that has yet to be tapped. He has a no nonsense demeanor that could work very well on screen, like a cross between Charles Bronson and Jimmy Stewart. I know that sounds like an odd mix, but I think it can work. I think he can be a star, even though that might not be what he wants.",Michael-70,2006-06-18,2006
9.0,Drop your preconceptions and judge this movie on its own merits,"I thoroughly enjoyed this movie. I have seen the other two in the franchise, and I thought the second one sucked. I had better hopes for this one simply based on the location in Tokyo, which I think is the most fascinating city in the world. I wanted to watch the movie just to see images of the city. If the movie happened to be decent, well then that would just be a bonus. Boy was I pleasantly surprised at how good this film was! This movie is pure entertainment. The cinematography is gorgeous, and really reveals Tokyo as a futuristic city. The racing scenes are amazing. The character development is there, and you actually are intrigued by the main characters. There is plenty of eye candy to go around. I was gripped the whole time by this movie. Even if you didn't like the other F&F movies, I think you should give this one a chance. It definitely has more depth to it than the others.",bthuynh,2006-06-18,2006
10.0,what this film should be judged on,This is first and foremost an action film you do not watch it for the characters and story you watch it for the action and for the thrills and in this aspect the fast and furious tokyo drift definitely delivers. The action scenes have a real sense of speed. They also give you a real sense of danger and you never know what is coming next.It also contains some very nice cars i am not really into the Japanese tuning seen but this film contains every kind of car from nissans to mustangs to volkswagens there really is something for everyone!In conclusion if you want a film with in depth story and characters look elsewhere but if you want a good thrilling action movie then the fast and the furious tokyo drift is certainly worth watching.,gavin_2003,2006-06-18,2006
6.0,Ummm....OK I guess,"Going into this movie I had the lowest expectations ever. I mean Bow wow is in it. Couldn't they have gotten some better actors like Vin Diesel or Paul Walker, like in the first two? No, they got Bow Wow. Well I went in with very very low expectations and walked thinking it wasn't too bad. It was an o.k. overdone action movie I'll give it that. The acting was quite cheesy and the movie itself was predictable. But at the same time it did have some very nice(nice, not possible) racing scenes that I did enjoy. Another thing was that I totally didn't feel the fast and the furious ""feeling"" throughout this one, as I did during the first two. It just doesn't quite follow the same theme and guidelines. But its a guaranteed favorite for all those die hard action movie lovin people, jus wasn't all that great with me.",maxgunko,2006-06-18,2006
8.0,Does what you expect,"Alright, let's get this out of the way: if you have no interest in cars, don't bother. If you want moving, powerful acting performances, look elsewhere. If blow-off valves and spinning tires make your heart shift into high gear, this is your kind of movie. The story is wafer-thin, it serves only as a hasty explanation to bring the audience to the Tokyo location and set up some action addicted races. The acting is just decent enough to keep you from groaning constantly, though Sung Kang's role as Han stands out as memorable and pleasant. Lucas Black has an understated quality about him that I think allows the movie's merit of its stunt sequences to shine, rather than the lead trying to steal all the attention. Which leaves me with the car play--the writers thankfully stopped trying to be technical and accurate in terms or facts (for the most part), so there's no ""...Blow the welds on your intake..."" crap, which is just plain wrong. The stunt drivers delivered lots of jaw-dropping drifts and high octane chases, and Justin Lin and his second-unit director took great care in highlighting the automotive lunacy. The cars and the setting are all glossy and colorful, and there is a wide range of makes and models to drool over, all just a bit over the top in their appearance. The music matches the speed of the movie as well, getting the target audience fired up with rock, hip-hop, and electronic tracks in all the right spots. Simply put, this movie offers what it promises, and gets by on the rest. I'm one of those types who can look past the shortcomings for the vehicular excitement, so I loved it, despite the flaws.",carlsob,2006-06-18,2006
