Rating,Title,Content,Author Name,Date,Year,Negative Score,Neutral Score,Positive Score,Overall Percentage Score,Overall Sentiment
4.0,Fast & Furious (2009),"Directed by Justin Lin. Starring Vin Diesel, Paul Walker, Jordana Brewster, John Ortiz, Gal Gadot, Jack Conley, Shea Whigham, Michelle Rodriguez, Liza Lapira, Laz Alonso, Sung Kang, Tego Calderón, Don Omar. (PG-13)After sitting out a sequel or two, Diesel and Walker are re-teamed as hunk-of-clay Dominic Toretto and scratchy-wooden-plank Brian O'Conner (call 'em Argil n' Poplar!), both out for justice/vengeance against a vaguely nefarious Mexican drug lord. The series was running on fumes by the time they ""got the old gang back together,"" but the production team knew how to craft a loud, sleek machine of populist stupidity, full of fast cars, barely-concealed backsides, substandard CGI, and lots of gravelly proclamations about family, loyalty, and chumps being busters. You get what you expect, but the high-octane chases being reduced to ones-and-zeroes so often is disappointing, as is an instantly forgettable villain who's less threatening than a Geico agent holding insurance claims on all the wrecked candy-colored imports. Not the worst the franchise had to offer, but its technique is more competent than supercharged, and in hindsight, it acted as little more than a transition between the street-racing outlaw dopiness of the previous films and the gargantuan heist/superspy outings to come.43/100",fntstcplnt,2019-09-18,2019,0.095,0.849,0.056,-0.8279,Negative
4.0,Mediocre entry in series,Rating4/10After a blazing opening action scene the film settles into mediocrity. Action scenes are so so and repetitive and the actors seem to be going through the motions. The script is a letdown.,wildlife-ptech,2019-10-11,2019,0.11,0.89,0.0,-0.4295,Negative
5.0,Mission Impossible?!,WTF... How can they change one of the best racing/tuning movies in a stupid mission impossible franchise?! Really?! If I wanted to see mission impossible I would have chosen the real mission impossible...,sandrorendim,2019-10-22,2019,0.206,0.696,0.097,-0.6885,Negative
2.0,Last Place,"When Vin Diesel delivered his poetic monologue to Wonder Woman about who the perfect woman is, I swooned. Seriously, this is not only the worst of the franchise, it's also the most boring.",matthewssilverhammer,2019-11-07,2019,0.107,0.72,0.174,0.572,Positive
6.0,Awful and good at the same time...,"I've re watched this movie with adult eyes and this movie is pretty awful in every regard. When it came out in 2009, it was the best thing ever! It was an ode to the kids of car culture. We all wanted Skylines and neon glows after watching this. This was our first taste of the culture. The action is like watching a video game and the acting is pretty poor, but eh.. the cars go fast and the girls are cute.If you've never seen it, sit down and check it out.. there are worse ways to spend 2 hours.",Truth_Cuts,2020-02-02,2020,0.075,0.845,0.08,-0.2363,Negative
6.0,Fast & Furious,"Vin Diesel and Paul Walker return to the franchise for the fourth entry after the series' diversion to Tokyo for episode 3. It obviously feels more like an F&F movie with these two in the driver's seats, and director Justin Lin knows exactly what is expected of him as he fills the screen with muscle cars engaged in hair-raising races, macho posturing and hot chicks in hot pants (one of whom is future Wonder Woman Gal Gadot). There's nothing groundbreaking about Fast & Furious, but it delivers everything that is required of it.",JoeytheBrit,2020-04-14,2020,0.024,0.937,0.039,0.1018,Positive
7.0,"Action, Excitement, Mystery","The Fast and the Furious series movies always continue with more excitement and action than the previous movie. The first scene of the film, as usual, appears before the audience with the peak of action and tension. The action of the first scenes allows the audience to lock on the screen throughout the movie. The movie feeds the audience to action. Dom's coming back in series 4 gives the audience what he wants, but what happened to Letty is disappointing to the audience.Adding a mystery about Braga to the movie has also contributed greatly to the audience watching the movie with curious looks.There is nothing to say to the cars, they are all very good, very fast and beautifully modified.But this movie is also overshadowed by erotic scenes like the first movie of the series. Especially the kissing scene of two girls does not like people at all. I wish they shoot the movies without adding the erotic scenes into the script.",drmuhammedsamiduru,2020-04-20,2020,0.074,0.784,0.142,0.9445,Positive
5.0,Return of the original cast,This film starts pulling together all the parts of the series that worked. The spin-offs had been somewhat successful but they lacked the core strength of Diesel and Walker being together. Walker has grown into his role over time and the improved dialogue allows for less cringe worthy exchanges. The plot is still generic and is only a slight improvement over number 2. Disappointing plot undermines what should've of a slam dunk. The revenge plot is new for the series and from this moment on the storylines grow even more insane.,nicholls905-280-546911,2020-04-23,2020,0.164,0.677,0.159,-0.3896,Negative
7.0,Tunnel vision across underground jurisdictions infiltration of a truth of enemy creating bonds of knowledge,"In this one. Vin Diesel as Dominic Toretto, Paul Walker as Brian O'Connor, Jordana Brewster as Mia Toretto and Michelle Rodriguez as Leticia ''Letty'' Ortiz. The film also introduces new characters Fenix (Laz Alonso), Omar (Don Omar), Leo Tego (Tego Calderon), Cara Mirtha (Mirtha Michelle) and Campos (John Ortiz). Sung Kang who played Han Seoul-Oh in Tokyo Drift has also made a appearance. We can briefly say that this is the direct sequel to the 2001 film. It begins from where it ended. Brian is at it again he a cop not cop now cop trying tobring down a heroin importer by infiltrating his operation. Director:Justin Lin has done a better thriller We start in Honduras were dom is doing his business robbing a oil tanker with letti But thing go explosive bad So with Brian on the hunt and sniffing round he comes in contact with dom So when Brian gets wind of a job he goes on a hunch to a party finding clues As dom also has grief on his mind he is also on the hunt for a killer but his has him and Brian unite for shared enemy and they are forced to bring him down any way necessary so with La race on the cards for to get a job the two work on a plan even though they don't trust each other so not give away who each other is. Gal gadot this is her first film her character Giselle is a henchwomen for bragga And with honour at stake their is a race but this part is like video game as its goes kind GPS virtual race Bragga his gang try and manipulate certain situations to stay ahead The film focuses mostly on swag, sex appeal, action, hunt and most importantly on the American Muscle cars. Why the film holds my attention is because the film promises on what is says in it's title: Fast & Furious. It's definitely more fast and more furious than the original one. Los Angeles and floors through the Mexican desert. When a crime brings them back to L.A., fugitive ex-con Dom Toretto reignites his feud with agent Brian, Dom and Brian must give in to an uncertain new trust if they hope to outmaneuver him. And from convoy heists to precision stealth tunnels crawls across international lines with close contact racing accidents , two men will find the best way to get revenge: push the their limits and cars they have What a film from start to finish this is the making of the this film series you don't get many film getting better as they get older but this made but my on the seat for every other fast film enjoy the film because I did and the cars I listed out this film rating as you see is 7 and its rating is going up for the rest The Nissan Skyline GT-R R34 that O'Connor 1964 Chevrolet Impala 1769. 1967 Chevrolet C-Series. 1969 Chevrolet Camaro Z28. 1969 Dodge Coronet. 1970 Chevrolet Chevelle SS. 1970 Dodge Charger. 1970 Plymouth Road Runner. 1971 Cadillac Sedan DeVille.",lark40,2020-05-04,2020,0.1,0.797,0.103,-0.1538,Negative
6.0,Return of the dream team,"Paul Walker and Vin Diesel reunite in this continuation of the Fast & Furious franchise. Dominic and his crew are on the run from the law, while O'Conner has returned back to FBI. But then Letty (Michelle Rodriguez) is killed and nothing will ever be the same as both Dominic and Brian seek solace for past sins.The film works mostly for the same reasons the previous films did. It's oozing with style, has very charismatic actors playing characters they were born to play, has very fast and cool cars, features a killer sound track, and is just all around fun to watch.I'd still say the original 2001 film is better, although not by much. It simply had rawer edge to it and had novelty on its side.Still, I very much enjoyed this film. Gal Gadot was a blast as a henchwoman to a drug boss, the car scenes were a ton of fun and the plot was kept well together. Plus, this film was the first step towards a grander scope when it comes to these movies. And that's never a bad thing.Not the best F&F film ever made, but a really solid entry, nevertheless.",Vartiainen,2020-05-10,2020,0.06,0.742,0.198,0.9863,Positive
5.0,Bombastic and irrelevant,"I didn't feel like this instalment needed to exist. It didn't really add much to the series. This time, the story and action were just average. Nothing stood out.",briancham1994,2020-05-31,2020,0.07,0.93,0.0,-0.2755,Negative
9.0,Fast and Furious 4,"Great movie as always. Paul Walker and Vin Disel as always never disappoint and there's lots of great car scenes and plenty of drama, tricks , thrills and spills. If you love this franchise then this is a must see.",btreakle,2020-06-04,2020,0.028,0.646,0.326,0.949,Positive
6.0,Good,Overall rating 7.0: I think this movie sets the tone for the Fast and Furious movies after this. It's fun seeing most of the original cast back in this one. Some of the scenes drag a bit to me but for the most part it's interesting. The third act is pretty good with the tunnels is pretty cool. The films villain isn't bad as well but definitely isn't the best in the franchise. Overall I think the fourth outing is a good enough movie with some good action scenes.,twpain,2020-06-05,2020,0.122,0.576,0.302,0.9745,Positive
8.0,Fast and furious,"I thought this prequel to Tokyo Drift was actually not bad.it starts off with a real adrenaline rush.the racing scenes are pretty good,as are the chase scenes.the story was good,and flowed well.there are quite a few dramatic moments in this film and they all work well.most of the original actors form the first film in the series are back,including Vin Diesel,Jordana Brewster Michele Rodriguez,and Paul Walker.i don't think it was as good as the first film,but it was a close second.i added it to my collection,and don't regret it.if you're a fan of the series,you should like this one.for me,Fast & Furious is a well deserved.",dilipbts,2020-06-09,2020,0.031,0.821,0.148,0.8986,Positive
7.0,Not to be confused with The Fast and the Furious,"The 4th installment of the Fast & Furious franchise called Fast & and Furious not to be confused with The Fast and the Furious. Which one of the many dumb things about this movie including it takes place before the previous movie, that Brian O'Connor manages to return to being a cop, and the Brian never gives any reason for choosing a life of crime over one in law enforcement but that he respects Dominic more than himself. Before anything else this movie is a dumb entertaining action movie, but there is remnant of a good story, just remnants. The main characters Brain O'Connor and Dominic Toretto start the movie at odds, but ultimately are buddies and are working toward the same goal, the apprehension of the drug dealer. At its core this movie has a base of a good movie, the apprehension of a drug dealer, Brain's struggle with being the good guy, and Dominic's desire for revenge. The chase for the drug dealer is a good action plot with a twist of who Braga is from my perspective I don't think obvious, and lead to an awesome car chase at the end. This the template for all the action and exciting sequences that you can't complain about. Brain O'Connor is somehow allowed back in the FBI and allowed to work around Dominic Toretto even though he let him go. The whole movie he is working toward the goal of capturing the Braga, who is essentialy the mission, but his desire to help Dominic and Mia greater than any other desire. His motives for these actions don't make any sense, if he really cared about Dom and Mia he would help them have a change of heart. These movies basicly preach that if crime is where your family than crime is OK. Dominic Toretto, a revenge story is pretty standard for any movie, but in this movie there isn't any push back to stop the revenge it also glorifies revenge. Brian and Dominic are very morally gray and they see their actions as good and even pray that God bless their day where they steal $60 million dollars of heroin and hide it. Also Mia is pushing back from Brain for the first half of the movie and all of the sudden they start making out. Though all of this is wrapped around to be positive because I is so easy to pick a part and adds to the already entertaining factor of the movie. The movie includes many awesome car chases, a chase on foot with Paul Walker, explostions, and Vin Diesel rams into the guy who killed his girlfriend with a car. The movie is entertaining, dumb, and stupid.",mvpdom,2020-06-18,2020,0.153,0.661,0.186,0.9724,Positive
8.0,The last of the somewhat believable film of the series,"Not to say any of the ones after this are bad (because they are good) but in terms of it feeling like reality at least a little bit, this is it.",jsermeno,2020-07-13,2020,0.062,0.746,0.192,0.5719,Positive
6.0,Another enjoyable actioner in the franchise.,"Just like the original 'The Fast and the Furious', this film starts off with an impressive truck heist scene - this time a big oil tanker. Although - here - they are pushing reality to the limits.'Fast & Furious' is best viewed as a direct sequel to 2001's 'The Fast and the Furious'. Justin Lin is back in the director's chair. Brian (Paul Walker) is again working for the FBI. Dom (Vin Diesel) and his sister, Mia (Jordana Brewster) are the only original members back for another round. Dom's girlfriend, Letty (Michelle Rodriquez) as well, but only for a very short while. Han (Sung Kang) is in the film's first moments as well, and might seem confusing if you've seen 'Fast and the Furious 3: Tokyo Drift' before this.The film revolves around a drug lord, Braga, who needs racers to transport a shipment of heroin from Mexico to the States. Off course, Dom and Brian are selected, along with a few others. While Brian investigates Braga for the FBI, Dom investigates Letty's murder. There's constant rivalry between Brian and Dom and they're not the friends they were in the original film.'Fast & Furious' is not as easy to follow as 'The Fast and the Furious', but there are a few interesting twists, especially regarding Braga towards the end. There's loads of action and amazing cars. The Mexican desert scene was incredible, as well as the finale with cars racing through an underground tunnel from Mexico to the States. Well done.",paulclaassen,2020-07-25,2020,0.144,0.751,0.104,-0.9518,Negative
5.0,Back to the story,"Finally, eight years after The Fast and The Furious we get a direct sequel. This time, Brian O'Conner (Paul Walker) and Dominic Toretto (Vin Diesel) must work together again to avenge the murder of Toretto's lover Letty Ortiz (Rodriguez) and apprehend drug lord Arturo Braga (John Ortiz). It's rare that a series of movies finally finds itself in the fourth installment, much less gets that many chances. But here you go - these movies really start becoming beloved right here. Sung Kang shows up as Han Lue, Dominic's right-hand man, bridging the last Japanese side of the franchise, while also introducing Gal Gadot as Gisele Yashar, a liaison for the evil Braga. Laz Alonso also shows up as Fenix Calderon, Braga's right-hand man who murders Letty and sets this whole movie's story arc in motion. This movie paved the way - pardon the road pun - for the other movies in this series. In fact, it outgrossed The Fast and the Furious: Tokyo Drift in its first weekend. Of course, Letty wouldn't stay gone long. But we'll get to that soon enough.",BandSAboutMovies,2020-08-05,2020,0.106,0.838,0.056,-0.9225,Negative
7.0,Okay.,Effects are okay. Actors are good. Plot is good and thrilling. This film was okay. I don't know what to say.,malmsteneino-11757,2020-08-28,2020,0.0,0.557,0.443,0.8934,Positive
5.0,New Model Original Parts,Fast & Furious Has Some Problems The Story Was Very Weak It Wad Pretty Boring The Villen was weak and This Is Absolutely The Weakest In The Series Still Kinda Enjoyable Fast & Furious Review Series The Fast Saga The Road To F9,dickinsonjason-34081,2020-09-04,2020,0.357,0.549,0.094,-0.9457,Negative
6.0,Back to incomprehensibility,"This review contains spoilers. Fast & Furious or Fast & Furious 4 is the fourth installment to The Fast & Furious franchise. The movie is a sequel to The Fast and the Furious: Tokyo Drift but is more of a direct sequel to 2 Fast 2 Furious. The movie features Paul Walker and Vin Diesel as they reprise their roles of Brian O'Conner and Dominic Toretto respectively. The crew from the first movie confront a drug lord called Braga that wrongs both Dominic and Brian. The plot of this movie is incredibly incomprehensible. Many events in the plot simply happen without any reason or the flimsiest of reasoning. This movie's plot is an excuse to show car chases. The story keeps up the action at the expense of the plot. An example of this is in one car race, Brian is knocked out of the race. He is able to use his FBI connections to re-unite with Dominic Toretto by taking another person's place. The other characters and even the villain simply accept this and allow it to happen. The main story of Letty's murder is not well done. This story feels incredibly flimsy and the audience does not even see the murder happen. It is simply in a flashback scene that is told. I understand that the movie wanted to use this event as the reason for Dominic Toretto's mission but it felt incredibly forced. The finale of the movie improves the rest of the movie. With an explosive finale and the story being wrapped up, the movie concludes in a satisfying way. This movie did set up the rest of the series well and this can be considered this installment's strength. I did look forward to the other future installments because of this movie. The movie ends with the crew assembling and busting Dom out of a prison truck. I do not recommend Fast & Furious. This movie's plot is a jumbled mess. The only redeeming factor for this movie is its place for the rest of the series.",anselmdaniel,2020-09-25,2020,0.142,0.796,0.062,-0.9879,Negative
2.0,Stupid movies,"Such stupid unrealistic action movies, just brainless, cant understand why there are so popular, just crazy. Nice cars tough but thats it",olds_68,2020-10-30,2020,0.199,0.642,0.159,-0.019,Neutral
8.0,A very good action movie,"We are presented with a good story that is very exciting and dramatic, plus the racing scenes are spectacular, I highly recommend it.",DogePelis2015,2020-11-08,2020,0.0,0.685,0.315,0.8476,Positive
7.0,Not a great movie but an entertaining one,"This movie isn't the best movie of all time it isn't great cinema it is not citizen kane or the godfather and not die hard, or ocean 11 for action crime movies but is is a very entertaining movie with a badass vin diesel
the acting is cheesy but the action and the cinematography is great in my opinion it is one of the best popcorn flicks it has explosions, car chases, racing, and a drug lord.",michomkhairallah,2020-12-18,2020,0.068,0.704,0.228,0.9551,Positive
9.0,my least favourite,Although this is my least favourite film from the Fast and Furious saga I still love it. The storyline it takes and then getting revenge of Dominic I should say it's just something that isn't like Corey but they wrap it around cars and it's Brian and Dominic meeting again and they've just got a good way to mix it together,miacoop,2021-01-10,2021,0.089,0.817,0.094,0.3281,Positive
6.0,Return of original actors with generic script and poorly developed story!,"Even with the return of the original characters of the franchise, he has an empty plot of emotion and good little action scenes between the characters that seem a little attractive in ""autopilot"" performances.",prietoheitor,2021-01-15,2021,0.045,0.757,0.197,0.719,Positive
6.0,fast,"They are slowly getting better but just like Tokyo drift this was just ok. I don't hate it, it has a good cast I just expect a bit more than the first movie gave us.just watch, it don't let me tell you not to see it",MB-reviewer185,2021-02-03,2021,0.0,0.763,0.237,0.9193,Positive
8.0,9/10,Fast & Furious 2009 Is still my fav fast furious what I have seen I like there is a story in this movie that is what makes me like it and Brian as an FBI is different The very beginning of this movie is great we have the group trying to get some gas tanks which kinda failed than Toretto leaves Letty so than Toretto is called saying Letty was murdered Mia and Toretto go to the location where it happened Toretto trying to figure out what happened So than Toretto is trying to figure out what happened while Brian is trying to figure out with the drug dealer Campos is doing and trying to find him they do race against each other in this movie which was funny because Toretto Cheated which was great so Brian got mad they do team in this movie when they have to work together to take down the dealer and Letty's Killer also the ending to this movie is great also I have not seen fast five When I do I bet that movie is going to be my fav so yeah Fast & furious 2009 is a good reboot to the franchise So I am give Fast & Furious 2009 an A-,projectsgamer,2021-03-17,2021,0.138,0.738,0.124,-0.6709,Negative
4.0,A prequel to tokoyo drift and a mess!!!,This one starts out a very promising movie but it ends up being a bunch of crazy action with a murder in between!!! Hans is in the beginning and then says that he is going to tokoyo cause some cool stuff is going on there!!! Then torettos girlfriend dies and Paul walker is a full out FBI cop but then guess what happens he falls back in love with racing and becomes friend again with Dom! Then Paul walker falls in love with his sister!! (Again)!!! Then we go back and forth from Mexico to lis angeles!! What a mess fast five should be better!!!,bethlori,2021-04-21,2021,0.096,0.712,0.192,0.9321,Positive
7.0,"""Ride or die. Remember?"" - Fast & Furious 4 is an action film worth watching, the chemistry between actors and action keeps me coming back","Fast & Furious 4 is the movie in the Fast & Furious franchise that changed my mind on the films, they found their footing and made it an success at the box office. I also believe it's the turning point and I mean how it ventured out of the racing and into heist, crime and action. Not that I'm complaining, it fits the characters and world they have built from the first and second film. F4 is written by Chris Morgan and directed by Justin Lin. It is a direct sequel to The Fast and the Furious whilst being a prequel to Tokyo Drift. The latter whom Justin Lin also directed.The film is again focused on the core characters of Dominic Toretto, Brian O'Conner,
Letty Ortiz, Mia Toretto, Gisele Yashar and Han Lue, whom are portrayed by Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster, Gal Gadot and Sung Kang. Whilst the villain, Arturo Braga/Ramon Campos is played by John Ortiz. The story goes deeper into the characters and the main theme of family, Gal Gadot and Sung Kang is a great addition to the cast, Sung Kang previously starred in Tokyo Drift which takes place before Fast 7.Earlier in my review I wrote that there were more focus on heist and action. Well F4 is about races and cars too so if you're a fan of that then you'll be excited, there's some very cool cars in this one. The action sequences are bigger and better than ever, higher budget makes that happen. Whilst the action gets better, the logic behind certain things reduces and the characters like Dominic Toretto becomes strong like an ox and able to get shot without even a flinch... Action films like these likes to make it more entertaining than realistic but I won't lie, I still enjoy the movie and will continue to recommend it. Some bad writing and bad acting is alright for a film like this one, Gal Gadot improves immensely though in the next films. The editing is fairly good and so is the pacing, nothing but praise for them on those fronts.",Holt344,2021-06-05,2021,0.066,0.799,0.135,0.9552,Positive
2.0,One thing I learned from Dom Nothing Really Matters Unless you have a code,Fast & Furious was not a good movie the acting was awful the story and plot was bad this was the weakest entry in the series.,jasonmichaeldickinson,2021-06-24,2021,0.431,0.569,0.0,-0.9423,Negative
9.0,Fast & Furious,"This is the best movie of the series so far. It changed the theme from street racing to drug smuggling/revenge. Firstly, I was happy to see the original crew back for the first time since the first movie. It is too bad we had to lose Letty in the first half hour. It ended up working out though because it set up a plot that I thought was good for a Fast and Furious movie. Brian, back working for the FBI, and Dom who is looking to get revenge on Letty's killer both infiltrate a drug smuggler's driving crew. Time passes, the movie gets good, there was a shocking reveal, and some good action. The movie ended with Dom and Brian capturing Braga and trying to get him back to the USA from Mexico to go to prison. There was a daring drive through smuggling tunnels in the border, and Braga eventually getting arrested. The very end of the film had Dom being transferred to a max security prison with Brian, Mia, and Dom's bickering Dominican pals about to break him out of the bus, setting up Fast 5. This was a great movie and I definitely recommend this to everyone. It is very entertaining, but surely they could have named it something else 😂. The name is almost identical to the first movie's title, The Fast and the Furious.",kaden_lewis,2021-07-03,2021,0.113,0.763,0.124,0.4664,Positive
3.0,not the best work,"Fast and Furious (2009) is alright. It is not the best movie out of the saga I've seen. Even though it is an action movie, it did not have as much action as before. I don't get why and how Brian is in the FBI. I miss the other characters from the second movie. I also miss the vibe in the first and second movies. Fast and Furious was boring in general.",i_am_momo,2021-07-06,2021,0.195,0.781,0.024,-0.9227,Negative
8.0,What sequel?,"First of all, this film did two things right: it brought back the original cast and it completely ignored that there ever was a sequel. This has everything I liked about the original, great action, great heart and it was wonderful to have Vin Diesel back in the driver's seat. The logic of the plot was a little fuzzy but overall, I really enjoyed it. I return my rating of the franchise to an 8 (great) out of 10. {Action Drama}",nancyldraper,2021-07-09,2021,0.018,0.72,0.262,0.9719,Positive
