Rating,Title,Content,Author Name,Date
8,Solid movie... Worth renting,"Today I saw Tokyo drift and yesterday I saw 2 fast 2 furious for the fifth time, but I still find myself drawn toward the original. It stars Paul Walker as an undercover cop who infiltrates the street racing underworld of LA to catch a crook who has been hijacking millions of dollars worth of electronics from 18wheelers, causing the truckers to take matters into their own hands, ultimately ending in deaths and multitudes of money stolen. Now, you would think that because of the semi weak plot, this movie wouldn't be that good, however, the main storyline is just a small part of this movie, the other elements being action and some interesting relationships regarding vin diesels character. Diesel plays a street racing god, one of the best in the LA scene. Walkers character, Brians, way into the world is through Dominic Toretto (Diesel). Toretto has an air about him which draws other in, and Brian is no different. Throughout the movie, Brian is getting to know Dom, earning his trust, etc, but at the end of the movie, both Dom and Brian are forced to make a decision about each other... The whole relationship is interesting to watch. As for the action, there is plenty of it. Besides the many races, there is also some gunplay and some hand to hand fighting, and some interesting hijacking sequences.All in all the cars are hot, the girls are hotter, the cars are fast, the guns are loaded, and for the more serious, the relationship between Dom, Mia, Vince, Letty, and the others is amazing.If you haven't seen this movie, rent it tonight",skternate,"Jun 21, 2006"
7,Cars look cool and Babes look hot,"Dominic Toretto (Vin Diesel) leads a group of friends and family to street race in the LA night. Brian O'Conner (Paul Walker) is a cop working undercover to infiltrate his gang of suspected truck robberies. However he finds himself falling under Dominic's charisma and for Dominic's sister Mia (Jordana Brewster).There is a lot of silly action, and unrealistic story lines. This is purely style winning over substance. The cars look cool and babes look hot. But it's the Vin Diesel presence and Paul Walker pretty boy looks that provide the heart of this movie. The boys have amazing chemistry and the gang feels like a real family. The story is almost unnecessary.",SnoopyStyle,"Nov 2, 2013"
1,Cunning Cops,"Could there be a movie made in this world worse than this one? Of course there is but this is still a shocking movie. What chance does a remake of ""Point Break"" seriously have? Neither contained a script worth performing, let alone an idea with originality. They both produced ordinary performances from the cast of alleged actors. They also both contained action scenes that were so ridiculous you could only smile at the the disgraceful way money is handed out to pretenders, sorry producers to make this crap.At least ""Point Break"" mixed the action scenes between sky diving and surfing rather than the mundane street racing over an over. Maybe they could have towed someone on roller skates behind the cars for extra adrenaline.",daveisit,"May 23, 2005"
No rating,"Hot Cars, Hot Girls, Hot Action, What more could you want?","I don't remember when the first time was that I saw The Fast and the Furious but it dosen't matter because it gets better with each viewing. This movie is filled with what guys want to see; Hot and fast tricked out cars, beautiful women, and kick ass action sequences. The world that the characters live in in this film is the world we can only dream of, to race in cool tricked out cars with dozens of beautiful women surrounding you and cheering you on. All of this is what I love most about this film but I also love the cast; Vin Diesal, Paul Walker, Michelle Rodriguez and Jordana Brewster all clinch their roles. If I were to pick my favorite cast member I would have to go with Michelle Rodriguez because not only is she a talented actress she is beautiful and bad ass in everything she's ever been in and this is probably my favorite role of hers. This is a movie were you really don't have to care about the plot because all the eye-candy and fun of this movie is the cars, girls, and action which is enough to pull you into the driver's seat. The cars are fast the action is furious and that's why this movie rocks.",daniel_velker,"May 22, 2013"
7,"Still ""Fast"" after all these years","Rob Cohen's ""The Fast and the Furious"" has no business being as great as it is. A film about fast cars, undercover cops, and highway robbery should provide limited, perhaps dimwitted thrills, but Cohen's colorful and swift-paced action outing provides such likable characters, slick stunts, and buoyant spirit that the whole affair elevates itself to the highest levels of lively, well-assembled fun. It is a surprisingly robust and satisfying experience.The film follows an undercover police officer working to infiltrate the world of street racing to bust a low-level crime syndicate. While undercover, he develops an affinity toward the racers and inconvenient brotherhood is established. Between the cars, busts, and friendships, a token crime story becomes a tale of family. It is simply compelling and effortlessly entertaining.Cohen creates a multi-ethnic world of sunshine, turbo charged technology, and well-rendered characters. It is a Los Angeles of beautiful paint jobs, palm trees, and lived-in locations. Color, verve, and speed burst forth from Cohen's frames in layered and lively compositions. Editing, design, and music create an always- pulsing energy that permeates every sequence.Though the film is about racing and the thrills that drive the sport, Cohen cast actors that earn as much attention as the horse- powered rockets. Vin Diesel, Paul Walker, Jordana Brewster, Chad Lindberg, and Michelle Rodriguez form the family unit the inspires the film's themes and emotions. Each actor builds a solid character, with the leads being especially memorable. Diesel glowers and Walker exudes a naive charm. They form a charismatic duo.A slick and undeniably entertaining action gem, ""The Fast and the Furious"" soars with its combination of character and thrills. Set pieces are exciting, character beats are affecting, and the stunts are electrifying. It is a remarkable, sweat, oil, and sun-soaked piece of work.",ryanskywalker-87402,"Apr 12, 2017"
6,First drive-in movie of the millenium,"Brian O'Conner (Paul Walker) wants to join the family of the head of California street racing (Vin Diesel)...but why?The plot is comic book level; the dialogue is very VERY bad...but who really cares?  This is a throwback of those dumb 1970s drive-in movies...it's for people who like loud, fast films filled with mindless action, attractive women, cars...and nothing else.  I didn't like the film.  It was too loud, too silly and way too long for a dumb action flick.  What saves it is some truly incredible action sequences (the ""hijacking"" sequence towards the end was unbelievable), some very nice, innovative direction, a cast that manages to be good despite the script and a very good performance by Vin Diesel. This was supposed to be Walker's breakthrough film but Diesel steals it away.  Also it looks kind of silly to have tall, lean, pretty boy Walker against tall, muscular, severe-looking Diesel.See it for the action and Diesel.  During the slow spots admire the cars or the women.",preppy-3,"Apr 28, 2003"
9,Damn I miss Paul Walker!,"The most traumatizing installment but very enjoyable none the less! I love so much of the film, the colors, cars, dialogue, and the fun vibes. Such a great movie, it's been many years since I've seen it. The motorcycle gang is such an annoyance to the plot would've been better without them.",UniqueParticle,"Dec 29, 2019"
6,Smallest and most personal instalment in the series,"This film is a humble introduction to the world of The Fast and The Furious, a far cry from what the series would become. It starts off with some lovable characters and some street races. The scale of this film is smaller than most of the sequels but it has more heart.",briancham1994,"Jun 1, 2020"
9,It's more than just an action movie.,"This is a great movie. Far from being superficial pulp, this movie has a complex plot. Vin Diesel's performance is tremendous; his screen presence is dominating. He succeeds in carrying the movie. Although the movie contains lots of glitz, it also tells a story that deals with themes such as loyalty and betrayal. The rest of the cast is excellent too, especially Jordana Brewster and Paul Walker. Michelle Rodriguez is as usual wonderful. It would be easy to dismiss this movie as being little more than a live action cartoon, but the movie really is full of surprises. It has several intensely dramatic scenes, some of the most incredible car chase scenes, and some deeply esoteric verbal exchanges fraught with emotion. Whether it's Vin Diesel pouting or Paul Walker being heroic, the results are same: nonstop action, intense dialog, and interesting characters, all of which together produce great entertainment. It's more than just about automobiles.",PWNYCNY,"Oct 24, 2011"
7,Great car film,"I went into ""The Fast and the Furious"" knowing the acting and the plot wasn't going to be oscar worthy. I went into this film just for the pure action of fast cars. I was totally happy with the results of this film. This film had some of the best car chase/racing sequences I've ever seen. I loved the chase scenes in ""Bullit"",""French Connection"" and my favorite of all time, ""Ronin"". ""Fast and the Furious"" matches up pretty well with those great car sequences. If you like cars at all, you should think about seeing ""The Fast and the Furious"". It's just a fun summer film. Peace",gr3mta3,"Jun 24, 2001"
1,This movie made me Furious really Fast,No content,Cheese_Detector,"Jan 26, 2002"
9,Great modern classic!,"There aren't many movies over the last dozen years to have a bigger impact on society than this one. The Fast and the Furious glorified street racing and made the Honda Civic and the other cars featured in the film must buys for teenage boys across America. The reason is pretty obvious, the movie is outstanding. The cast of Paul Walker, Vin Diesel, Jordana Brewster, and others is outstanding and the story is really interesting and unique. The plot and characters are all really well developed, creating an immersive viewing experience not often seen in movies under two hours. The cars and race scenes are fantastic and the action has you sitting on the edge of your seat. The only negative for me was some of the cinematic effects. The director tried to get cute and a lot of those effects actually hurt the scenes, not helped. Nonetheless, those few sequences aren't enough to ruin the film and the entertainment value for the movie is still sky high.",Bruce722,"Jun 1, 2013"
7,My first action and crime movie,I watched this movie in my christmas time. It overwhelmed me with its fast speed. Immediately watched the next 6.,terence98,"Dec 23, 2017"
5,Kid stuff for gearheads,"""The Fast and Furious"", adapted from a magazine article, could have been adapted from a comic book. With a simple minded plot,  some pretty awful acting by just about everyone (Diesel excepted), and the usual Hollywood excesses pushing the PG-13 envelope, ""The Fast..."" gets off on high octane street racing. From cool cars to hot babes this flick is made with one goal in mind: to separate the teen male from the price of admission. Not for mature audiences.",=G=,"Jan 16, 2002"
No rating,Good,"A mindlessly entertaining film, The Fast and the Furious features fun action, sexy cars and women as well as having some cool characters. Don't go into this film expecting it to engage your brain though or any Fast and Furious film for that matter. Thank you Rob Cohen for starting this franchise!",0U,"Feb 23, 2020"
7,Best watched a quarter mile at a time.,"The Fast and the Furious is a car culture movie that created an action cinematic universe. So many meme lines and amazing car action are packed into this pre-9/11, Y2K time capsule. It's always fun to see where the Fast Franchise began and the birth of series staples, back when Dom still appeared mortal.Point Break with cars is NOS when you infuse it with an Attitude Era type of style. Even its ridiculous moments have appeal as many of them are now meme royalty. It's like tuna on white bread with no crust; some might think it's crappy, but others will keep coming back for it. Best watched a quarter mile at a time.",mediatation,"Jun 17, 2024"
9,Nostalgic,"I saw this movie first in 2003 and was instantly sucked into the series, i've seen fast five and fast six which did this movie justice but i don't think they can duplicate the feeling i get from watching this film. it feels so much like the time period it was shot in and the chemistry all the main street racers share in the middle of this movie feels gone forever. i recently watched this movie again after Paul walker died because i feel that was the final nail in the coffin on my hope for seeing another movie that felt like this. i like all f and f movies in the series especially the newest ones which are surprisingly more entertaining to me and that 2fast and Tokyo drift but the new ones are like their own movie without the same flow just like this movie is and I'm sad to see it pretty much gone forever but at least they created the new movies and created them well so we have more than just the first few rip Paul walker.",YT_RealJoshTv,"Jan 15, 2015"
7,"A remake of Point Break, but so what?!!","Obviously this is a remake of Point Break but so what!!  The storyline is adequate.  The racing scenes are first-rate.  And the soundtrack was pretty decent too.  Heck,  that was all I personally expected and truthfully the movie outperformed my expectations.  Vin Diesel did a great job as did the Keanu wannabe.  Non-stop action is all I asked for in this one and I got it. 7/10 for living up to itself.",BuffDonky,"Apr 3, 2002"
9,A joy ride of entertainment.,"The fast and furious will not exactly WOW you. But it will do enough to keep you entertained through out, thanks to it's excellent cast and furious race scenes. The film was a good idea and it could have not been executed any better then it was. The not so familiar director Rob Cohen did a very good job. Most scenes were well panned out and ribbon tied with it's cool racing or just brilliant acting. For that it really does deserve 9 stars.The major impact this movie had was it's pride. The fast and the furious did not get too a head of them selves and also didn't have the biggest budget to work with. But the movie reflects on a job well done. The movie is just simple plain fun, it take you for a enjoyable ride. The racing scenes were well though out, intense and very fun to watch. Some scenes were all the friends are together were witty and fun to watch too. The script was nothing major but decent. The acting was the brilliant, Vin Diesel knew and played his role very well, his role had the major impact. The plot was interesting but nothing real special. Overall the movie was very enjoyable, great racing, cool cars with a touch of action and humour.",k-dhesi,"May 31, 2009"
6,Underwhelming,"The first movie to a huge saga. This movie was just alright, the acting isn't the worst thing ever and the ending was horrible. This movie isn't that memorable, but it isn't the worst thing ever.",aingmire-26563,"Aug 17, 2021"
3,Fickle film making against a backdrop of stupidity,"Mindless, thoughtless action was happily brought to you by this crum-bum of a movie. While I did like the cars in the film, especially the modified muscle car, this detail just wasn't enough to call this a legitimate story. Paul Walker seemed horribly out of his element. Are we supposed to believe his is an actual cop or some wannabe? Vin Deisal was solid in his role, but nothing else could be gained from this relatively low brow film.",Agent10,"May 26, 2002"
8,Live life 1/4 mile at a time.,No content,Lady_Targaryen,"May 21, 2006"
6,Unexciting,This film has been a hit but i cant see why the action isnt that great and most of it was in the trailer.it tries to be a point break with cars but it fails to see real cars drive fast i think id stick to Smokey and the bandit or mad max both films this rips off big time.Vin Diesel will be a great action star however,filmbuff1970,"Apr 9, 2002"
1,One of the worst movies I ever saw in the theater.,"I know this movie isn't supposed to be a work of art.  It's just supposed to be a mindless roller coaster ride with car chase scenes.  I can respect shallow entertainment sometimes.  THIS MOVIE IS AWFUL. I'm not going to go into detail about the horrible acting; predictable, unoriginal plot; and the complete absence of any kind of meaning.  This is a dumb action movie that is just supposed to appeal to a person's shallow senses. The running time of this movie is 106 min.  Maybe 15 min of this movie actually has car chase scenes or action happening on the screen.  A mindless action movie should be at least 1/3 action.  Most of this movie is filled with unlikeable characters in their 20's, who act like they're in junior high, just conversing with each other like morons.  The only character in this movie I liked was the truck driver towards the end of the movie trying to kill all the main characters with a shotgun. (2 out of 10)(If you want to see a movie with great car chase scenes, see the movie RONIN)",benestine,"May 14, 2002"
No rating,An action packed ride that will please gear-heads and non-enthusiasts alike,No content,elijaman2002,"Dec 11, 2011"
7,"Kinetic, ""hip"" street-racing flick with Vin Diesel and Paul Walker","A newbie to Los Angeles (Paul Walker) falls for a café host (Jordana Brewster) while trying to join a street-racing gang led by her brother, Dom Toretto (Vin Diesel). Meanwhile the LAPD are trying to apprehend a radical group on the highways that targets semis and their valuable cargo. Michelle Rodriguez is on hand as Dom's babe while Matt Schulze plays an angry member of his gang.""The Fast and the Furious"" (2001) was the beginning of the popular street-racing franchise that currently has eight movies with two more planned. The over-the-top action is akin to ""The Road Warrior"" (1981) while the tone mixes the comic book melodrama of ""The Warriors"" (1979) and ""Torque"" (2004) with the more serious air of ""Grand Canyon"" (1991) and ""Training Day"" (2001). (Yes, I realize ""Torque"" and ""Training Day"" debuted after this one; I'm just providing comparative references).Speaking of the tone, there's no goofiness and the actors take everything dead seriously, which is good in my book, but the flick has several unintentional laughs because, while quasi-realistic, the thrills & posing are so exaggerated.Brewster and Rodriguez are effective in the feminine department, but neither do much for me personally. There are a few good-looking ladies in the periphery, however.The soundtrack contains several dynamic urban numbers, including the excellent ""Deep Enough"" by Live.The movie runs 1 hour, 46 minutes and was shot in Los Angeles & nearby areas (San Bernardino, Hemet, Malibu, Westminster, Beverly Hills, etc.).GRADE: B",Wuchakk,"May 8, 2019"
7,The start of a franchise that revolve around cars and a big break for two actors,"This movie was a big hit when it first came out in theaters, especially with it's budget. It's actually pretty obvious why this movie was so popular, mainly because of the suped up cars with girls and some aggressive racing and bits of action. In another words this is a popcorn flick for most guys and despite the plot not being that good, it still has elements which keeps the movie from being boring or dull. It's one of those movies where it's better to shut off your brain and just accept that entertaining and yet stupid stuff happening on screen in order to have a good time with it. This is also the movie where Vin Diesel and Paul Walker got their big break, and so this movie is the biggest thing that has probably ever happened to them especially when it comes to being in the movie industry. So yeah basically to sum it up, this is a film with a passable plot but has some thrill rides to go with it. Overall the execution was well done, it's a stupid/cheesy flick and yet it's cool and entertaining. Like one of Vin's line in this movie ""You break her heart, I'll break your neck"" it's lame but stands out although most of this movie is pretty cheesy for the most part.7.4/10",KineticSeoul,"Apr 28, 2011"
10,"""Winning is winning""",No content,Angelus2,"Jan 24, 2008"
7,THIS is how you do summer movies,"If you want plot, script and oscar-winning performances, go rent Shawshank Redemption or something.Honestly, I don't know why some people have come down so hard on this movie. It's like saying, ""Airplane"" was dumb because the characters were poorly developed and shallow, and the plot was unrealistic.""The Fast and the Furious"" is a great summer, action flick.  Definitely gets the heart pumping and the adrenaline flowing.  The chase and race scenes have some great stunts.  The cars are gorgeous and fun to watch.  I saw it over a week after it opened, and the audience was still very receptive to the action in this movie.Now this is where I am supposed to slam the plot and the acting.  Well, to be honest, I thought the plot was quite GOOD, given that all they had to work with was the theme of ""street racing.""  I didn't think the acting was all that bad.  The entire cast did fine, given the script they had and the kind of movie it was.  One fatal mistake many action movies try to do is weave in too much drama or emotion, which inevitably ends up looking cheesey and just slows down the movie.  FnF was guilty of this, but only to a small degree.  A brief dive into Vin Diesel's scarred childhood, a little bit of corny romance for Walker, but that's it.  I respect a movie that knows what it is and doesn't try to cross any lines.The movie makers set out to make a movie that presents Import Racing to the masses.  So they had to make a plot to house that movie.  Personally, I think they did a pretty good job.  Definitely worth a go in a theater.PS: I never saw all of Point Break, but from what I did see, it looked dumb. Like an extended Mellow Yellow commercial.",Gambitt,"Jul 2, 2001"
10,Insanely Fast,"This movie, has by far the best car racing scenes ever filmed, as well as the best cars. They are gorgeous machines, and these guys certainly can drive them. Great story, not just another Gone in Sixty Seconds where all they did was steal cars, there actually weren't very many race scenes as you might expect, but every shot is filled with cars, and lots of them. The acting is great as well, as usual Vin Diesel gives a brilliant performance, as Dominic Toretto. It has already earned a massive following, and when you leave the theaters you will be filed with such a massive adrenaline rush, that you and all your buddies will be left with the feeling that you must go out and race. Everybody I have talked to have said the same thing, it just has this crazy adrenaline rush it gives you. I highly recommend this to all fans of cars, and racing, but it has something for everybody so see it even if you are not a fan of either, bottom line, just see it!!!!!!",jaded_aero,"Jun 25, 2001"
7,Pretty good high intensity movie,No content,whartonluke,"Jul 11, 2013"
1,"trash, designed specifically to play on my generation's stupidity",No content,eupolis,"Jul 1, 2001"
8,Mainstream fluff but this first instalment works for them,No content,Robert_duder,"Dec 8, 2013"
