Rating,Title,Content,Author Name,Date
7,12 years after the first outing and the franchise is unrecognisable - which is a good thing,"The Fast and Furious franchise has undergone a radical transformation since launching 12 years ago, with the changes following Justin Lin taking hold of directorial duties from Tokyo Drift (film three) onwards.The series has made the transition from street races to include drugs, heists, and now terrorism, while lead characters Dom Toretto (Diesel) and Brian O'Conner (Walker) have gone from petty thug and law enforcer to wanted fugitives.With an opening sequence reminiscent of Quantum of Solace, Toretto and Brian screech around mountaintops as the latter readies himself to become a father, demonstrating how adult and family-minded they've become. Meanwhile, what follows is a nice refresher for those acquainted with the series and for newcomers alike, acting as a highlights reel to bring everyone up to speed of the events experienced in the previous five films.The antagonist for Fast 6 is Mr Owen Shaw (Evans), a former special ops military man that uses his knowledge, contacts and fast cars to make robberies for the highest bidder. In this instance, it just so happens he has his eyes on a chip that would incite terrorism in the wrong hands, which prompts baby oil-loving federal agent Hobbs (Johnson) to round up Toretto and his crew for back-up, offering them full pardons in exchange for their services.London is the main backdrop for the film, which, naturally, features a very corny cameo, though the the bright lights, black taxis and double-decker buses dotted around the city are infinitely more welcome.For me, five was the best of all of the films, but six gives it a run for its money, taking the stunts to ridiculous new heights (literally). You could, of course, reprimand the film for its use of impossible feats, but that's the whole point of these films, right? To get bigger and more extreme, as demonstrated with the big and extreme – and always affable – introduction of Johnson in Fast Five.For me, Johnson changed the game and breathed new life into a franchise that was beginning to get stale, and seeing Hobbs join forces with Toretto and co makes for brilliant viewing. The action is insane and the banter is electric, with the camaraderie between the cast obvious.The only criticism of the film is its length. There was a particular moment that seemed as though the film had wrapped, though it continued for another half hour, and while what followed was laced with adrenaline and big bangs, the film could have done with a 20 minute tightening.Shaw isn't an intimidating or imposing character, particularly when facing off against Hobbs and Toretto, but he is devious, ruthless and sharp, presenting an entirely new threat to the series.Those in the know will be aware Tokyo Drift threw the timeline entirely out of sequence, but the game comes full circle at the end of the film, and you won't want to miss the credits sequence that follows Originally posted at www.zentertainmentweekly.com7/10",zentertainmentweeklydotcom,"May 21, 2013"
9,Incredible! Thoroughly enjoyable!,"I still can't believe I am giving a 9.0 to a film that is #6 in a brainless action franchise!I am not aware of any other franchise (except maybe, strangely enough, f13) where #6 is the best of the series. Normally the energy, creativity are gone by then.Not this time.I simply cannot believe how much I enjoyed every single minute of this film!There was even a decent plot!! (hey, for a film that is basically made up of fast cars, explosions and fight scenes, that says a lot!)However, I won't go into the plot - because there are some REAL twists in it, and it is better to go in with a fresh mind.It does help if you have seen the prior 5, but no sweat if you haven't. What really pleasantly surprised me was how funny this film was!! I would say about 1/2 the film was gut splitting comedy. It is rare that most jokes work in a film. Usually some fall flat. Not in this one! every single joke worked. I laughed so hard that I know I missed some!This is really meant to be seen on the big screen with a large crowd. I can't remember the last time so many people laughed, went 'WHOA!"" and ""yeah"" even clapping during a film!The film starts off with a bang and ends with a post-ending that will make you grin from ear to ear.The film deals with criminals who are obsessed with fast cars and like to create mayhem with their cars.Wall to wall action, comedy with just the right amount of drama and love interest.This could be ""the"" measurement for the brainless-feel-good-summer- action film.The only reason I am not giving this a 10.0 is because 1) it was a little long.. the final scene was almost a movie in itself (but it was a hoot!), and 2) in general I don't think any film is perfect. In some scenes (thankfully only a few) there were too many close ups that made it a little hard to follow the action. But I am really nitpicking here, folks.If you like action, fast cars, explosions, comedy....run, don't walk to see F&F 6.(and this from a guy who has the Seventh Seal and Alexander Nevsky in his DVD collection)",fritzlang,"May 21, 2013"
7,It was ok.,No content,catpantry,"Aug 24, 2016"
5,Did the director go on holiday for the last third of the film and hand his directing duties to a 12 year old kid?,No content,carl-walster,"May 20, 2013"
6,A fun addition to the franchise,"As the Fast & Furious franchise continues with it's simple enjoyments of fast cars, well oiled muscles and sexy ladies. This film does meet expectations, and is your typical faster and bigger sequel. This time the story follows Dominic Toretto (Vin Diesel), Brian O'Conner (Paul Walker) and the gang. Who are this time not being chased but being recruited by Luke Hobbs (Dwayne Johnson). To bring down international criminal Owen Shaw (Luke Evans) who is aided by once thought of dead Letty Ortiz (Michelle Rodriguez).What is good about the film is Director's, Justin Lin's decision to keep the film in a action-oriented direction. With a slight nods to it's street racing past. But focusing on 80's big muscle, big explosions nostalgia. Also the continuing use of practical effects over CGI backgrounds and locations. Make the film look all the more impressive. The action is over the top and a little silly but i did very much enjoy it. The only poor bit being a moment where Vin Diesel's character saves someone life taking the ridiculousness a bit to far. With the ever expanding cast the writers i imagine do have their work cut out for them. But everyone in the film except Jordana Brewster who again is given the short shrift do get their moments. But some of the comedy does miss it's mark, and the return of Letty is given the thinnest and quite unoriginal of explanations for her return. Also because of the huge cast of good guys, there is a lack of development for the villains. Making it difficult for Luke Evans who is actually very good in his role, to make a strong impression and did not become the threat to the team as much as he should of. This is a fun film, so just turn off your brain and enjoy the ride and be prepared for a very decent post credit sequence hopefully setting up a possibly very exciting Fast 7.",paulsrobinson,"May 19, 2013"
7,Fast and Furious 6 review,"The previous installments of this franchise (specifically 1,2, Tokyo Drift and 4) was all about racing, sure there's a plot but it wasn't really shown well, then part 5 happened and the franchise took a different turn, it now became a heist film instead of the usual racing. I hated and I loved this turn of the franchise, I hated it because in part 5, the racing competition aspect of the film is gone, it became chases but I also loved this turn because it made the franchise take a different approach. My question is, will this formula still work with part 6? Find out below.Story: The story in this movie picks up after the previous one where it was known that 'Letty' (Michelle Rodriguez) was still alive and I admit that they handled her ""resurrection"" quite well but that is only the sub-plot of this movie. The main plot is Hobbs (The Rock) is chasing after Owen Shaw (Luke Evans). He then gets the help of Toretto and Brian's crew by using Letty as bait (or that's how I see it). The story is pretty simple and they told it without adding anymore sub plot but some of the sub plots that were made felt very crowded to the story even though it was solved. It just felt a little heavy and a bit too much for the movie.Acting: If you saw the previous installments from this franchise well then you ain't missing anything from their performance, it's pretty much the same but I have to say this though, Vin Diesel and The Rock displays pure bad-assery in this movie. That being said, I will give my two cents on the two characters from this movie which are Gina Carano who played Riley and Luke Evans who is Owen Shaw. Carano was able to hold her own despite having little dialogue and what makes her character seems badass is because of her action scene, this is actually one of the things I'm looking forward to upon seeing this movie because I loved her in 'Haywire' (awesome film, check it out) and I;m confident to say that I am not disappointed with her on this one. Next is Luke Evans, he IMO is one the versatile actors in the industry today, you can cast him in almost any role and he displays a good performance. In here is the main villain although he gave a good performance in this role I find it hard to find him as an effective villain, there is something missing with his performance here I'm just not sure what it is.Action: The Fast franchise is definitely known for having one of the best car chases ever and this one doesn't disappoint and it does not only have car chases but also fist fights, head bangin' and other sh*t. Even though some of the action scene were very over the top it was still entertaining and was handled pretty well. The action was not violent or brutal as it showed little to no blood and being a fan of R-13 I can say that this rating does not fit well to the style of FF and I'm happy and contented with it's PG-13 rating. IMO this is the most action-packed FF film so far.Cinematography: The cinematographer did a wonderful job here, the shots were just amazing and adds depth to the mood that is set within each scene. The shots were able to show scenery that really captures the beauty of the set and like I said the mood of the scene.Direction: I wasn't much of a fan of Lin's direction here, it was pretty slow which made the film a little boring for me despite having heavy action. Even though the movie is a little slow paced, Lin was able to tell the story with it's whole heart. I liked how he did the pacing in FF 5 though.Overall: 'Fast and Furious 6' was high-octane action movie injected with some humor. Using the same formula as the previous one made this film good and also bringing back the racing aspect of the original FF films. While I consider the FF 5 is still the best one in the franchise, I can still say that this is one solid addition to it. I give this movie a 3.5/5P.S. Watch the post-credit scene, it made me get hyped for Fast and Furious 7.",whoa17,"May 24, 2013"
7,Not Disappointed,Part 6 does not disappoint. More action then ever. If you added Bruce Willis this could have been Die Hard 6,dar0417,"Jan 24, 2020"
8,Fast & Furious 6,No content,Tweekums,"Feb 19, 2017"
7,Fuious 6,"I'm going to keep this short, simple and sweet because that is exactly what this film is. It's great summer fun for all ages that manages to succeed on the one thing I hate in horror movies; make an idiot of itself. It is where this stupidity in plot events comes from that gives the film its fuel to do nothing but provide brainless over-the-top popcorn fun. It is done so by having some of the best sound editing I have heard in a while with brilliantly paced action sequences, with one fight scene in particular that will surly be the best action scene of the year. I recommend Furious 6 if you're looking to have some fun, but whatever you do, do not walk in there expecting The King's Speech, because it is not what this movie is trying to be- which makes this film so admirable.Grade: B+",edwardscissorhands123,"Jun 4, 2013"
10,Film of the year,"I went to the cinema with quite low expectations due to the trailer. However after watching this film i was amazed by the outcome. There was so much thrilling tense action, at one point i was on the edge of my seat. The fights and the car chases were magnificent. The series seems to be getting better and better. Fast and furious 6 is by far the best one, and i can't wait for number 7. There was so much going on and the ending was awesome. I will definitely buy this on DVD when it comes out. Great acting from the casts. This is the most entertaining film of 2013 so far. There was epic cars, sexy girls and brilliant locations.10/10",losangcodbazzinga,"May 22, 2013"
No rating,One of my favourite Fast and Furious movies,"Another awesome installment to the franchise! Fast & Furious 6 is actually better than its predecessor! It has great characters, humor, action and of course sexy cars/women!",0U,"Feb 23, 2020"
7,"An Adrenaline-Fueled Action Ride, and a Good One at that.","The Fast and the Furious franchise has never been known for an engrossing story. No one goes to the movies to see character development and a complicated storyline. They go for the cars, the girls, and the explosions, and this installment has all of the above, including a fair story.A ghost from Dom's past, Letty, has come back from the dead, and Dom reunites the team from Fast Five (a team that works on all levels) in order to get her back. Ludicrous and Tyrese Gibson provide some of the humor of the film, with their bantering back and forth throughout, but I found that the theater I was in laughed and cheered throughout the course of the movie. The action is good, and never lets up. For a film that is over two hours, I found myself only checking the time when I thought the finale was happening (to see how long it would be).What you want in this film is something as good as Fast Five. Something original and fresh. What you get is something that improves on Fast Five (and the rest of the series) on all levels. This is by far the best Fast and Furious movie ever, and it really shows how a series like this can turn around from something as bad as Tokyo Drift.And it has a nice set up for Fast & Furious 7 during the credits, where we get a little surprise for the villain of the next film.Bravo, this film is awesome, and should be viewed by fans of both the series and of action movies in general.8/10",Papatheodorou,"Jul 6, 2013"
