Rating,Title,Content,Author Name,Date
No rating,Practical,"Summer movies, what a zone to enter! What a collection of thrills, disappointments and adventures of different kinds! Sometimes for me they take me to a sublime place: ""King Kong,"" ""Van Helsing."" Most times its just noise.If its cinematic, I'll credit it with space in my life. Yes, I know the first two F&F were considered dumb, not worthy. Some of that I think is a residual class bias in the US. Muscle cars and racing has always been a trailer park thing. True enough and the stories, all three of them are cluttered with cultural touchstones: dumb, honest, sublegal. And the trailer park notion of girls as prizes.Well, if you are serious about movies, you pretty much ignore the stories. And in summer movies you know the icons transcend their cultural places and move to a grander cinematic place. So a hillbilly isn't a hillbilly, more of a hillbillybillboard. The real appeal is in whether it is cinematic or not. Now this is a tricky issue, and a matter of taste. Tarantino, for example, obnoxiously advertises the cinematic overloading of ""Bill,"" but that's just inventory, right? The Coens seem more genuine and satisfying. But with the Fast and Furious projects, the idea was a nostalgic one, to recall an obsolete cinematic value: the car chase. More, to do it without computer graphics, but with camera angles now common from the CGI era. In movielanguage, this is called doing it ""practically,"" meaning with real cars, mountains, cameras.Computer graphics is still enough artificial that we know the difference. That matrix highway fight or any one of the mission impossible deals might be exciting, but there's an extra edge to knowing that something is real. Like a Buster Keaton or Harold Lloyd stunt. The first F&F simply mined this. I liked it enough to consider my cinematic mind massaged. The second one obviously responded to market research that showed huge ticket sales in Asia. So they retooled the whole thing, both in the story (Asian girls, Asian cars), in the style (neon) and in the film-making itself.A huge hit in Asia. US viewers were almost disposable.Now this third one: actually set in Tokyo though filmed in LA. Its a step down in style: the production design is not nearly as polished and cool, instead it is more industrial, cheaper to do. The F&F production sponsors clearly are settling in for the long haul where they can make one of these every year or so indefinitely. Oddly, the sexy bodies  traditionally the cheapest thing you can get  are played down in this one.Anyway, the real value in this is the camera rush. There's some cool folding at the race at the end where phonecams merge with the cameras we see through. We become the spectators on the side of the road.Ted's Evaluation -- 2 of 3: Has some interesting elements.",tedg,"Jul 7, 2006"
7,Tokyo Drift.....drifting away from the plot...,No content,Rob_Taylor,"Jun 28, 2006"
7,Tokyo Drift,"Now let me state I haven't seen it in a long time so I'm going by memory of how I felt about this film.The Fast And The Furious: Tokyo Drift is the third film in the series and unlike the first two films it doesn't have the original cast members which is a let down since it's normally wise to have the cast reprise their roles for the films.But for the story for this film it just makes you understand why they went to a new cast.The plot centers around an American Teenager Sean Boswell (Played by Lucas Black) who gets into trouble with the law after a street race with an high school kid so to avoid going to jail he is forced to move in with his father Major Boswell (Played by Brian Goodman) in Tokyo, Japan.But old habits are not easy to bring as he begins to rival with Takashi (Played by Brain Tee) who serves as the film main Antagonist, the feud begins when Lucas begins to chase his girlfriend Neela (Played by Nathalie Kelley).What most fans would be disappointed about the film is that the film features no of the original characters. But the film plot is interesting but still feels kind of let down considering. Plus we first see Han in the seriesThe action scenes and taunts are good for the film despite it flaw acting but it just a hard film to not talk about. The film is just hold back for many reasons but if you're a fan of the series give it a watch.I give The Fast And The Furious: Tokyo Drift an 7 out of 10",Terryfan,"Apr 3, 2015"
6,Lacking compared to the others,"This Fast and Furious entry sits down near the bottom of the franchise. It's not bad, it's just not particularly memorable for anything other than its title maneuver. Lucas Black has nowhere near the charisma of the franchise's other leads and the story is ultimately pretty bland.",cardsrock,"Aug 4, 2019"
5,"Well, it was fast and it was furious - but it wasn't very good","Now it is time again; for the third time racing drivers drive furiously and recklessly on the streets - racing for things like power, prestige, money and women. While Tokyo Drift may sound like 'just another movie about cars', it is much different from the previous two Fast and Furious installments, shifting from the hot streets of Californa to Tokyo, Japan. The protagonist is no longer surfer-boy Paul Walker, but Lucas Black as 17-year-old Sean who always escapes his problems by moving away.But Sean decides to stay in Tokyo this time to deal after gets entangled in a dirty Yakuza mess when he races against a Yakuza boss's nephew, and steals his girlfriend (unforgivably annoying Nathalie Kelley). The Fast and the Furious: Tokyo Drift (2006) thus sees American Sean and his crude ways juxtaposed with the sleek technology of Tokyo. It is an effective contrast, and the Tokyo background provides visual stimuli throughout the film, elevating it above generic formula.But ultimately, this is ALL that is good about this film because the acting is atrocious - not any of the leads should ever be allowed to act again, even with better writing. The exception and stand-out performance in Tokyo Drift is the sexy Sung Kang as the guy who takes Sean in when he comes to Tokyo, and teaches him in the ways of 'drifting'. However, I have always seen the Fast and Furious franchise as an elaborate excuse to parade fast cars and fast women, and Tokyo Drift is no different here.5/10",Flagrant-Baronessa,"Aug 8, 2006"
8,Refreshing and innovating,"""The Fast And The Furious"" series opened the cinema for a whole new way to make car movies. This 3rd movie from this series added the cherry on the top of a sweet cake. Lots of action during the whole movie and, I must say, a very good argument. Way better than the 2nd movie with some characters very well created and also their evolution through out the movie.Although, sometimes, it seams that the story walks a bit too fast and things happen too early, this 3rd movie has one of the best arguments of the 3. And I'm still undecided if it is better or not than the 1st movie.Some really good change in this 3rd movie was the feature of drifts instead of pure racing (shown so far in the previous series). THAT is the main innovation in this series as long as in cars movies. The creators of ""The Fast and The Furious"" were PROBABLY pioneers in making underground car movies and they were surely the first doing a movie about drifting.I must say that Tokyo was indeed a very good place to film this kind of driving.Just to finish, I just wanna say there's a great surprise at the end of the movie!!! ;)",pauloshdias,"Oct 29, 2006"
7,A Nutshell Review: The Fast and the Furious: Tokyo Drift,No content,DICK STEEL,"Jul 28, 2006"
1,I just left the movie with blood springing from my forehead,No content,Killbourne,"Jul 13, 2006"
10,I watch this film at least 4 times every year,Not a huge fast and the furious fan but this is a whole other entity genuinely 15 years old now and still holds up the nostalgia is something else reminds you of great times - plus has one of the most iconic sound tracks of any film I've sent every song is spot on I just absolutely love this film and I hate cars,cameronmcclure,"Feb 1, 2021"
7,Pleasant time pass entertainment,Rating6/10Pleasant inoffensive entertainment makes for enjoyable time pass. More oriented towards the younger lot with stylish cars lovingly photographed and an old fashioned storyline. A huge improvement over the previous film.,wildlife-ptech,"Oct 12, 2019"
1,What?!??!?!,No content,krenar1,"Jun 26, 2006"
7,Deeper and darker,No content,OMTR,"May 11, 2023"
6,Overhyped,No content,thinezequieltan,"Feb 17, 2024"
7,watch it again in 2024 !,"Watched tokyo drift for the second time after 18 yrs
yup i enjoyed it ..even more
i ithink its one of the best of the fast and furious series .. FF 1 , FF 2 and tokyo drift the other in the series just too many gimmickIn tokyo drift they have:
no CGI
normal car with a good modification....
normal person as a driver not a secret agent man or super soldier...
no such thing as a ""family""
more believable story than the other in the series , no car vs tanks, no car vs submarine , no car going to outerspace just car vs car
so please make FF series like this ..about race + nice car and speed.................",tio-01602,"Jun 4, 2024"
1,Worst movie ever,"For a time I didn't know which movie I had as number 1 worst movie, but now I do :) The scene where they ride downhill and try to make it ""lovestory"" kinda like, I was so embarrassed that I had to close my eyes and ears. Worst dialog ever :P Worst casting to by the way, Lucas Black gotta be one of the worst actors I've seen in a long time, what was with the accent, bad smile and stupid grin ? Every time he said something deep was just hilarious, that guy cant act for sure. Even the scenes with drifting got boring, cause its the same and same all over again, from start to end. BoooooringMy few words :)Over and out",maeha,"Jun 18, 2006"
